"","place","ward","dist_suffix","dist_nosuffix","pwd","wd","Ward_N","Dist20_N","Region20_N","Dist20_nosuffix","wdr20","wd20","pwd.dist","wd.dist","dist","dist_sum","accept","is.ward","is.district","Dist20_N.b","Region20_N.b","Dist20_nosuffix.b","Ward_N.b","accept.b","accept.c"
"1","alabama","itete","malinyi.dc","malinyi","alabama-itete-malinyi","itete-malinyi","itete","malinyi.dc","morogoro","malinyi","itete-malinyi-morogoro","itete-malinyi",0.367965367965368,0,NA,0.367965367965368,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"2","alabama","minazini","malinyi.dc","malinyi","alabama-minazini-malinyi","minazini-malinyi","minazini","mkoani","kusini.pemba","mkoani","minazini-mkoani-kusini.pemba","minazini-mkoani",0.365429505135388,0.13258547008547,NA,0.498014975220858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","alago","lalago","maswa.dc","maswa","alago-lalago-maswa","lalago-maswa","lalago","maswa.dc","simiyu","maswa","lalago-maswa-simiyu","lalago-maswa",0.351701904333483,0,NA,0.351701904333483,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"4","amewanunua.hapahapa.mnadani","ihowanza","mufindi.dc","mufindi","amewanunua.hapahapa.mnadani-ihowanza-mufindi","ihowanza-mufindi","ihowanza","mufindi.dc","iringa","mufindi","ihowanza-mufindi-iringa","ihowanza-mufindi",0.428153820816864,0,NA,0.428153820816864,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"5","anawanunua.hapa.mnadani","wanging.ombe","wanging.ombe.dc","wanging.ombe","anawanunua.hapa.mnadani-wanging.ombe-wanging.ombe","wanging.ombe-wanging.ombe","wanging.ombe","wanging.ombe.dc","njombe","wanging.ombe","wanging.ombe-wanging.ombe-njombe","wanging.ombe-wanging.ombe",0.300508629377677,0,NA,0.300508629377677,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"6","asanje","babayu","bahi.dc","bahi","asanje-babayu-bahi","babayu-bahi","babayu","bahi.dc","dodoma","bahi","babayu-bahi-dodoma","babayu-bahi",0.339031339031339,0,NA,0.339031339031339,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"7","azimio.mapula","kongolo","mbarali.dc","mbarali","azimio.mapula-kongolo-mbarali","kongolo-mbarali","kongolo","mbarali.dc","mbeya","mbarali","kongolo-mbarali-mbeya","kongolo-mbarali",0.426382047071702,0,NA,0.426382047071702,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"8","azimio.mswiswi","kongolo","mbarali.dc","mbarali","azimio.mswiswi-kongolo-mbarali","kongolo-mbarali","kongolo","mbarali.dc","mbeya","mbarali","kongolo-mbarali-mbeya","kongolo-mbarali",0.444078144078144,0,NA,0.444078144078144,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"9","babayu","babayu","bahi.dc","bahi","babayu-babayu-bahi","babayu-bahi","babayu","bahi.dc","dodoma","bahi","babayu-bahi-dodoma","babayu-bahi",0.236467236467237,0,NA,0.236467236467237,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"10","bagamoyo","bagamoyo","pwani.dc","pwani","bagamoyo-bagamoyo-pwani","bagamoyo-pwani","bagamoyo","rungwe.dc","mbeya","rungwe","bagamoyo-rungwe-mbeya","bagamoyo-rungwe",0.228879957780214,0.190620490620491,NA,0.419500448400704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","bahi","bahi","bahi.dc","bahi","bahi-bahi-bahi","bahi-bahi","bahi","bahi.dc","dodoma","bahi","bahi-bahi-dodoma","bahi-bahi",0.175595238095238,0,NA,0.175595238095238,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"12","bahi.sokoni","bahi","bahi.dc","bahi","bahi.sokoni-bahi-bahi","bahi-bahi","bahi","bahi.dc","dodoma","bahi","bahi-bahi-dodoma","bahi-bahi",0.29204822954823,0,NA,0.29204822954823,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"13","bangamoyo","bangamoyo","bahi.dc","bahi","bangamoyo-bangamoyo-bahi","bangamoyo-bahi","bwagamoyo","kiteto.dc","manyara","kiteto","bwagamoyo-kiteto-manyara","bwagamoyo-kiteto",0.253267973856209,0.220238095238095,NA,0.473506069094304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","bankolo","lamaiti","bahi.dc","bahi","bankolo-lamaiti-bahi","lamaiti-bahi","lamaiti","bahi.dc","dodoma","bahi","lamaiti-bahi-dodoma","lamaiti-bahi",0.30906432748538,0,NA,0.30906432748538,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"15","bankolo","lmaaiti","bahi.dc","bahi","bankolo-lmaaiti-bahi","lmaaiti-bahi","lamaiti","bahi.dc","dodoma","bahi","lamaiti-bahi-dodoma","lamaiti-bahi",0.30906432748538,0.0277777777777779,NA,0.336842105263158,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"16","bankoro","lamaiti","bahi.dc","bahi","bankoro-lamaiti-bahi","lamaiti-bahi","lamaiti","bahi.dc","dodoma","bahi","lamaiti-bahi-dodoma","lamaiti-bahi",0.30906432748538,0,NA,0.30906432748538,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"17","bariadi","bariadi","bariadi.dc","bariadi","bariadi-bariadi-bariadi","bariadi-bariadi","bariadi","bariadi.tc","simiyu","bariadi","bariadi-bariadi-simiyu","bariadi-bariadi",0.133069828722003,0,NA,0.133069828722003,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"18","bariadi","misungwi","misungwi.dc","misungwi","bariadi-misungwi-misungwi","misungwi-misungwi","misungwi","misungwi.dc","mwanza","misungwi","misungwi-misungwi-mwanza","misungwi-misungwi",0.324814814814815,0,NA,0.324814814814815,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"19","bariadi.iputi","mbuga","ulanga.dc","ulanga","bariadi.iputi-mbuga-ulanga","mbuga-ulanga","duga","tanga.cc","tanga","tanga","duga-tanga-tanga","duga-tanga",0.293269230769231,0.177777777777778,NA,0.471047008547009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","biro","biro","malinyi.dc","malinyi","biro-biro-malinyi","biro-malinyi","biro","malinyi.dc","morogoro","malinyi","biro-malinyi-morogoro","biro-malinyi",0.245564892623716,0,NA,0.245564892623716,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"21","biro","biro","ulanga.dc","ulanga","biro-biro-ulanga","biro-ulanga","vigoi","ulanga.dc","morogoro","ulanga","vigoi-ulanga-morogoro","vigoi-ulanga",0.317689255189255,0.143939393939394,NA,0.461628649128649,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","biti","biti","bariadi.dc","bariadi","biti-biti-bariadi","biti-bariadi","mbita","itilima.dc","simiyu","itilima","mbita-itilima-simiyu","mbita-itilima",0.246380090497738,0.25997150997151,NA,0.506351600469248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","bomba.mbili","bomba.mbili","songea.dc","songea","bomba.mbili-bomba.mbili-songea","bomba.mbili-songea","bombambili","songea.mc","ruvuma","songea","bombambili-songea-ruvuma","bombambili-songea",0.233333333333333,0.0185185185185185,NA,0.251851851851852,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"24","budekwa","budekwa","maswa.dc","maswa","budekwa-budekwa-maswa","budekwa-maswa","budekwa","maswa.dc","simiyu","maswa","budekwa-maswa-simiyu","budekwa-maswa",0.258730158730159,0,NA,0.258730158730159,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"25","budula","ngudu","kwimba.dc","kwimba","budula-ngudu-kwimba","ngudu-kwimba","ngudu","kwimba.dc","mwanza","kwimba","ngudu-kwimba-mwanza","ngudu-kwimba",0.318295739348371,0,NA,0.318295739348371,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"26","bugunguli","buhunda","misungwi.dc","misungwi","bugunguli-buhunda-misungwi","buhunda-misungwi","nhundulu","misungwi.dc","mwanza","misungwi","nhundulu-misungwi-mwanza","nhundulu-misungwi",0.308310841205578,0.195728291316527,NA,0.504039132522105,NA,NA,NA,NA,NA,NA,NA,NA,NA
