"fid.see.mrkta.idtable.","unique.row.id","country.see.mrkta.lkpcountry.","district.region.see.mrkta.lkpregion.","ward.see.mrkta.lkpward.","village","name.of.market","gps.coordinates.of.the.market","unique.row.identifier.uuid."
1144629,1,6,66,660114,"Kongogo","Kongogo","-5.6540452 35.6187311 1001.0666927661302 4.7","613c7928-dc08-11ec-9416-9440c9ab47f0"
1145145,1,6,66,660108,"Mnkola","Mnkola","-5.9346991 35.4385512 967.9165535898202 4.4","6195a4d8-dc08-11ec-9416-9440c9ab47f0"
1145634,1,6,66,660116,"Kigwe","Kigwe","-6.0890039 35.491366 923.6996822010908 5.0","34d62591-dc0e-11ec-9416-9440c9ab47f0"
1146643,1,6,62,620120,"Lalago","Lalago","-3.4356636 33.940421 1176.560546875 4.484","34b44643-dc0e-11ec-9416-9440c9ab47f0"
1147458,1,6,66,660117,"Nkhome","Nkhome","-6.3376382 35.5494331 1043.9753975031404 4.666","34ecd3de-dc0e-11ec-9416-9440c9ab47f0"
1147539,1,6,62,620119,"Kidinda","Kidinda","-2.7993362 33.9778378 1279.3138427734375 4.99","34a3426d-dc0e-11ec-9416-9440c9ab47f0"
1148684,1,6,62,620116,"Mwamapalala","Mwamapalala","-3.0198588 33.9063994 1279.216552734375 4.094","345ae204-dc0e-11ec-9416-9440c9ab47f0"
1148875,1,6,62,620117,"Igaganulwa","Dutwa","-2.5205596 33.9705568 1226.0179443359375 4.824","34bb77ae-dc0e-11ec-9416-9440c9ab47f0"
1150216,1,6,68,680101,"Kakola","Dutwa","-2.9533058 33.3396562 1198.62255859375 4.824","8f1ad2b6-dc14-11ec-9416-9440c9ab47f0"
1150503,1,6,66,660101,"Nondwa","Nondwa","-6.4412867 35.3437051 879.995288088445 5.0","61647c89-dc08-11ec-9416-9440c9ab47f0"
1150713,1,6,61,610106,"Kitupa","Majimoto","-7.2648428 31.3856309 942.7573749628949 5.0","616d7ada-dc08-11ec-9416-9440c9ab47f0"
1151624,1,6,66,660118,"Makanda","Makanda","-5.7435244 35.3763822 850.1656003108059 5.0","34b92064-dc0e-11ec-9416-9440c9ab47f0"
1151673,1,6,65,650102,"Mavimba","Mavimba","-8.3016157 36.6768771 260.3158878360539 4.288","62218a38-dc08-11ec-9416-9440c9ab47f0"
1151696,1,6,61,610102,"Usevya","Usevya","-7.1023229 31.233341 918.6710145224217 5.0","6127542e-dc08-11ec-9416-9440c9ab47f0"
1151761,1,6,68,680102,"Ndagalu","Kabila","-2.735009 33.6199781 1187.2132568359375 4.873","8f923ff7-dc14-11ec-9416-9440c9ab47f0"
1152532,1,6,66,660107,"Msisi","Msisi","-5.8434268 35.6267158 1039.6681653605376 4.7","617208f4-dc08-11ec-9416-9440c9ab47f0"
1152550,1,6,65,650107,"Iputi","Iputi","-9.015777 36.8762673 356.6743109473304 4.801","61437082-dc08-11ec-9416-9440c9ab47f0"
1153235,1,6,68,680103,"Manawa","Misasi","-3.0022943 33.0887375 1159.743408203125 4.288","b3a304ae-dc6d-11ec-9416-9440c9ab47f0"
1153347,1,6,61,610110,"Kinyonga","Inyonga","-6.725048 32.0738779 1155.3856748847256 4.309","b2dd90bf-dc6d-11ec-9416-9440c9ab47f0"
1153375,1,6,65,650121,"Tanga","Tanga","-9.0054267 36.0480217 288.7 3.9","b3d77af4-dc6d-11ec-9416-9440c9ab47f0"
1153640,1,6,66,660120,"Mpunguzi","Mpunguzi","-6.4008654 35.7423155 1054.1858014367524 5.0","dde676c8-dd36-11ec-9416-9440c9ab47f0"
1153726,1,6,65,650106,"Lukande","Lukande","-8.7802811 36.8349103 344.0423149345794 4.45","dd9f1798-dd36-11ec-9416-9440c9ab47f0"
1153837,1,6,64,640114,"Upanga","Upanga","-10.7359982 38.8195845 340.0 5.0","dd18adc9-dd36-11ec-9416-9440c9ab47f0"
1153926,1,6,63,630111,"Chalisuka","Madibira","-8.2240565 34.8309127 1060.437176574953 5.0","ddfde253-dd36-11ec-9416-9440c9ab47f0"
1154277,1,6,71,710103,"Muze","Muze","-7.665454 31.5487759 825.1419668286479 4.888","083ce7b8-de00-11ec-9416-9440c9ab47f0"
1154304,1,6,71,710102,"Ntalamila","Ntalamila","-7.8575468 31.2494008 1705.7120280769095 5.0","087092f0-de00-11ec-9416-9440c9ab47f0"
1154370,1,6,63,630113,"Mapogoro","Mapogoro","-8.3380775 34.7013921 1043.225439584814 5.0","08c17a59-de00-11ec-9416-9440c9ab47f0"
1154778,1,6,62,620118,"-  - Mwasamba","Mwasamba","-2.3095184 33.8103289 1182.7962646484375 3.964","32ab47a5-dec9-11ec-9416-9440c9ab47f0"
1154854,1,6,63,630114,"Muungano","Muungano","-8.5755375 34.4772164 1040.9195482823998 5.0","32c22296-dec9-11ec-9416-9440c9ab47f0"
1155180,1,6,65,650104,"Namhanga","Mbenja","-8.4200995 36.4700377 232.87606789547428 4.337","5d5fa13d-df92-11ec-9416-9440c9ab47f0"
1155332,1,6,63,630109,"Imalilosongwe","Imalilosongwe","-8.618643 34.2672071 1044.681722507812 5.0","5e2a7f0d-df92-11ec-9416-9440c9ab47f0"
1155719,1,6,64,640115,"Mwenge","Mwenge","-10.3655329 40.1675682 153.7 5.0","8312b7c0-e05b-11ec-9416-9440c9ab47f0"
1155787,1,6,64,640113,"Mtandi B","Mtandi","-10.7177235 38.8282873 381.2 4.14","832c5548-e05b-11ec-9416-9440c9ab47f0"
1155788,1,6,64,640103,"Maneme","Nanyumbu","-11.1417145 38.4928857 270.0 5.0","82df9ef1-e05b-11ec-9416-9440c9ab47f0"
1156283,1,6,65,650137,"Mziha","Mziha","-5.9081153 37.7818555 424.8910042061635 4.873","82baca02-e05b-11ec-9416-9440c9ab47f0"
1156399,1,6,66,660119,"Mayamaya","Mayamaya","-5.8180745 35.8020788 1103.13826831017 4.4","b09fc40f-e124-11ec-9416-9440c9ab47f0"
1156578,1,6,61,610111,"Itenka A","Itenka","-6.4939355 30.9955562 997.3424979566549 4.8","b106f214-e124-11ec-9416-9440c9ab47f0"
1156594,1,6,61,610105,"Kilda kona","Kilda kona","-7.4317758 31.3842168 868.4329451951146 4.0","b24ac1ff-e124-11ec-9416-9440c9ab47f0"
1156644,1,6,65,650130,"Gongoni","Gongoni","-6.6450717 37.1520417 443.1 3.9","b191287a-e124-11ec-9416-9440c9ab47f0"
1156804,1,6,71,710105,"Kilyamatundu","Kilyamatundu","-8.3466513 32.2800652 832.7678499740232 4.444","dc9a920d-e1ed-11ec-9416-9440c9ab47f0"
1156842,1,6,64,640101,"Mumbaka","Mumbaka","-10.8394261 38.9195289 306.8 4.35","dbb52907-e1ed-11ec-9416-9440c9ab47f0"
1157046,1,6,73,730102,"Ihowanza","Ihowanza","-8.577295 34.7650505 1385.6171502014622 5.0","e3ba1159-eb5b-11ec-9416-9440c9ab47f0"
1157180,1,6,71,710101,"Isunta","Isunta","-7.4863071 31.0558712 1538.6081938882564 4.0","08257200-e2b7-11ec-9416-9440c9ab47f0"
1157393,1,6,64,640106,"Nangaya","Nangaya","-10.7145123 38.795609 381.11968994140625 4.58","07c8c6f5-e2b7-11ec-9416-9440c9ab47f0"
1157394,1,6,64,640113,"Madeco","Madeco","-10.7296017 38.8162751 375.3988037109375 4.716","07957888-e2b7-11ec-9416-9440c9ab47f0"
1157395,1,6,64,640112,"Chiungutwa","Chiungutwa","-10.8934518 38.987719 230.076416015625 4.561","078eff44-e2b7-11ec-9416-9440c9ab47f0"
1157529,1,6,65,650101,"Mbuyuni","Mbuyuni","-8.2398367 36.6833767 215.06686133284956 4.1","08a9d597-e2b7-11ec-9416-9440c9ab47f0"
1157687,1,6,66,660110,"Bahi Sokoni","Bahi","-5.9624894 35.334974 836.6556481038064 5.0","31941180-e380-11ec-9416-9440c9ab47f0"
1157708,1,6,61,610113,"Minyagala","Minyagala","-6.417779 30.7914399 1026.6599661164819 4.8","31593dd0-e380-11ec-9416-9440c9ab47f0"
