"country","district.region.code","district.region.name","ward.code","ward.name","village","market.name.corrected","gps.coordinates.of.the.market"
6,66,"dodoma",660114,"babayu","kongogo","kongogo","-5.6540452 35.6187311 1001.0666927661302 4.7"
6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9346991 35.4385512 967.9165535898202 4.4"
6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890039 35.491366 923.6996822010908 5.0"
6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4356636 33.940421 1176.560546875 4.484"
6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376382 35.5494331 1043.9753975031404 4.666"
6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993362 33.9778378 1279.3138427734375 4.99"
6,62,"simiyu",620116,"mwamapalala","mwamapalala","mwamapalala","-3.0198588 33.9063994 1279.216552734375 4.094"
6,62,"simiyu",620117,"dutwa","igaganulwa","igaganulwa","-2.5205596 33.9705568 1226.0179443359375 4.824"
6,68,"mwanza",680101,"ngudu","kakola","kakola","-2.9533058 33.3396562 1198.62255859375 4.824"
6,66,"dodoma",660101,"nondwa","nondwa","nondwa","-6.4412867 35.3437051 879.995288088445 5.0"
6,61,"katavi",610106,"majimoto","kitupa","majimoto.a","-7.2648428 31.3856309 942.7573749628949 5.0"
6,66,"dodoma",660118,"makanda","makanda","makanda","-5.7435244 35.3763822 850.1656003108059 5.0"
6,65,"morogoro",650102,"milola","mavimba","mavimba","-8.3016157 36.6768771 260.3158878360539 4.288"
6,61,"katavi",610102,"usevya","usevya","usevya","-7.1023229 31.233341 918.6710145224217 5.0"
6,68,"mwanza",680102,"kabila","ndagalu","kabila","-2.735009 33.6199781 1187.2132568359375 4.873"
6,66,"dodoma",660107,"msisi","msisi","msisi","-5.8434268 35.6267158 1039.6681653605376 4.7"
6,65,"morogoro",650107,"mbuga","iputi","iputi","-9.015777 36.8762673 356.6743109473304 4.801"
6,68,"mwanza",680103,"misasi","manawa","misasi","-3.0022943 33.0887375 1159.743408203125 4.288"
6,61,"katavi",610110,"inyonga","kinyonga","inyonga","-6.725048 32.0738779 1155.3856748847256 4.309"
6,65,"morogoro",650121,"tanga","tanga","tanga","-9.0054267 36.0480217 288.7 3.9"
6,66,"dodoma",660120,"dodoma.mjini","mpunguzi","mpunguzi","-6.4008654 35.7423155 1054.1858014367524 5.0"
6,65,"morogoro",650106,"lukande","lukande","lukande","-8.7802811 36.8349103 344.0423149345794 4.45"
6,64,"mtwara",640114,"silabu","upanga","upanga","-10.7359982 38.8195845 340.0 5.0"
6,63,"mbeya",630111,"madibila","chalisuka","madibira","-8.2240565 34.8309127 1060.437176574953 5.0"
6,71,"rukwa",710103,"muze","muze","muze","-7.665454 31.5487759 825.1419668286479 4.888"
6,71,"rukwa",710102,"kate","ntalamila","ntalamila","-7.8575468 31.2494008 1705.7120280769095 5.0"
6,63,"mbeya",630113,"mapogoro","mapogoro","mapogoro","-8.3380775 34.7013921 1043.225439584814 5.0"
6,62,"simiyu",620118,"mwasamba","mwasamba","mwasamba","-2.3095184 33.8103289 1182.7962646484375 3.964"
6,63,"mbeya",630114,"igava","muungano","muungano","-8.5755375 34.4772164 1040.9195482823998 5.0"
6,65,"morogoro",650104,"iragua","namhanga","mbenja","-8.4200995 36.4700377 232.87606789547428 4.337"
6,63,"mbeya",630109,"imalilosongwe","imalilosongwe","imalilosongwe","-8.618643 34.2672071 1044.681722507812 5.0"
6,64,"mtwara",640115,"mwenge.mtapika","mwenge","mwenge","-10.3655329 40.1675682 153.7 5.0"
6,64,"mtwara",640113,"mtandi","mtandi.b","mtandi","-10.7177235 38.8282873 381.2 4.14"
6,64,"mtwara",640103,"sululu","maneme","nanyumbu","-11.1417145 38.4928857 270.0 5.0"
6,65,"morogoro",650137,"mzia","mziha","mziha","-5.9081153 37.7818555 424.8910042061635 4.873"
6,66,"dodoma",660119,"zanica","mayamaya","mayamaya","-5.8180745 35.8020788 1103.13826831017 4.4"
6,61,"katavi",610111,"itenka","itenka.a","itenka","-6.4939355 30.9955562 997.3424979566549 4.8"
6,61,"katavi",610105,"mamba","kilda.kona","kilda.kona","-7.4317758 31.3842168 868.4329451951146 4.0"
6,65,"morogoro",650130,"rudewa.gongoni","gongoni","gongoni","-6.6450717 37.1520417 443.1 3.9"
6,71,"rukwa",710105,"kipeta","kilyamatundu","kilyamatundu","-8.3466513 32.2800652 832.7678499740232 4.444"
6,64,"mtwara",640101,"mumbaka","mumbaka","mumbaka","-10.8394261 38.9195289 306.8 4.35"
6,73,"iringa",730102,"ihowanza","ihowanza","ihowanza","-8.577295 34.7650505 1385.6171502014622 5.0"
6,71,"rukwa",710101,"namanyele","isunta","isunta","-7.4863071 31.0558712 1538.6081938882564 4.0"
6,64,"mtwara",640106,"mwengemtapika","nangaya","nangaya","-10.7145123 38.795609 381.11968994140625 4.58"
6,64,"mtwara",640113,"mtandi","madeco","madeco","-10.7296017 38.8162751 375.3988037109375 4.716"
6,64,"mtwara",640112,"chiungutwa","chiungutwa","chiungutwa","-10.8934518 38.987719 230.076416015625 4.561"
6,65,"morogoro",650101,"minepa","mbuyuni","mbuyuni","-8.2398367 36.6833767 215.06686133284956 4.1"
6,66,"dodoma",660110,"bahi","bahi.sokoni","bahi","-5.9624894 35.334974 836.6556481038064 5.0"
6,61,"katavi",610113,"sibwesa","minyagala","minyagala","-6.417779 30.7914399 1026.6599661164819 4.8"
6,72,"songwe",720101,"mkomba","ntungwa","mbao","-8.5474375 32.4585168 964.2937461761758 5.0"
6,73,"iringa",730101,"itunundu","kimande","kimande","-7.3660081 35.4864831 986.4152071885765 5.0"
6,64,"mtwara",640121,"nanjota","nanjota","nanjota","-10.820619 38.9761502 307.0 4.36"
6,65,"morogoro",650123,"namawala","idandu","kikurukutu","-8.1735732 36.3908104 245.8944091796875 4.288"
6,63,"mbeya",630108,"rujewa","ihanga","rujewa","-8.7168037 34.3909631 1068.0594060355797 5.0"
6,61,"katavi",610101,"kibaoni","kibaoni","kibaoni","-7.1153872 31.1714705 961.2 4.55"
6,66,"dodoma",660102,"mundemu","mundemu","mundemu","-5.9299971 35.6778646 1124.8728903331437 4.8"
6,64,"mtwara",640109,"makong.onda","nakarara","makong.onda","-11.0164945 39.2319285 241.0 4.833"
6,64,"mtwara",640108,"mchauru","mchauru","mchauru","-11.0281082 39.160235 169.26971435546875 3.9"
6,70,"njombe",700101,"wangingombe","wanging.ombe","wanging.ombe","-8.8521811 34.6428671 1415.5339352684096 5.0"
6,64,"mtwara",640120,"namalenga","nagaga","namalenga","-10.9013394 39.1108574 335.4 4.96"
6,65,"morogoro",650124,"mofu","miyomboni","mofu","-8.2765794 36.3240707 244.8209228515625 4.744"
6,64,"mtwara",640105,"mkundi","majembe","mkundi","-10.7383764 39.1197694 392.0 5.0"
6,64,"mtwara",640116,"lukuledi","lukuledi","lukuledi","-10.5717977 38.8068269 334.9 5.0"
6,65,"morogoro",650127,"sagamaganga","sagamaganga","sagamaganga","-8.0696476 36.8109116 241.6 4.8"
6,64,"mtwara",640118,"chiwale","kivukoni","chiwale","-10.5853929 38.6060378 407.613525390625 4.716"
6,63,"mbeya",630106,"utengule.usangu","utengule.usangu","utengule.usangu","-8.6721637 33.8662568 1045.617154860869 5.0"
6,66,"dodoma",660115,"lamaiti","lamaiti","lamaiti","-5.7821564 35.4809909 972.8034368570598 5.0"
6,64,"mtwara",640107,"nangoo","mwongozo","nangoo","-10.4664104 39.0937505 250.1832275390625 4.824"
6,64,"mtwara",640119,"mwena","chibwini","mwena","-10.5081024 39.0038158 298.0 4.666"
6,72,"songwe",720102,"idiwili","idiwili","idiwili","-9.1347523 33.1536493 1909.0037182345986 5.0"
6,65,"morogoro",650119,"salamiti","kiswago","salamiti","-8.823092 36.2566832 242.0103323809444 4.816"
6,64,"mtwara",640122,"ndomoni","ndomoni","ndomoni","-10.5375291 38.8116548 310.00372314453125 4.561"
6,64,"mtwara",640127,"tulindane","tupendane","tulindane","-10.9243361 39.2698108 700.806884765625 4.451"
6,64,"mtwara",640126,"mtonya","majengo","mtonya","-10.9544701 39.2770396 685.2410888671875 4.873"
6,64,"mtwara",640123,"kitangari","kitangari","kitangari","-10.6501081 39.3333043 454.5841064453125 4.824"
6,64,"mtwara",640124,"luchingu","luchingu","luchingu","-10.9385478 39.2730208 684.0 4.8"
