"fid","country","region.geomatch.final","district.geomatch.final","ward.geomatch.final","village.manual.final","market.manual.final","reg.ward.mrkt.final","gps.coordinates.of.the.market","unique.row.identifier.uuid."
1144629,6,"dodoma","bahi","babayu","kongogo","kongogo","dodoma-babayu-kongogo","-5.6540452 35.6187311 1001.0666927661302 4.7","613c7928-dc08-11ec-9416-9440c9ab47f0"
1145145,6,"dodoma","bahi","ibihwa","mnkola","mnkola","dodoma-ibihwa-mnkola","-5.9346991 35.4385512 967.9165535898202 4.4","6195a4d8-dc08-11ec-9416-9440c9ab47f0"
1145634,6,"dodoma","bahi","kigwe","kigwe","kigwe","dodoma-kigwe-kigwe","-6.0890039 35.491366 923.6996822010908 5.0","34d62591-dc0e-11ec-9416-9440c9ab47f0"
1146643,6,"simiyu","maswa","lalago","lalago","lalago","simiyu-lalago-lalago","-3.4356636 33.940421 1176.560546875 4.484","34b44643-dc0e-11ec-9416-9440c9ab47f0"
1147458,6,"dodoma","bahi","ibugule","nkhome","nkhome","dodoma-ibugule-nkhome","-6.3376382 35.5494331 1043.9753975031404 4.666","34ecd3de-dc0e-11ec-9416-9440c9ab47f0"
1147539,6,"simiyu","bariadi","bariadi","kidinda","kidinda","simiyu-bariadi-kidinda","-2.7993362 33.9778378 1279.3138427734375 4.99","34a3426d-dc0e-11ec-9416-9440c9ab47f0"
1148684,6,"simiyu","itilima","mwamapalala","mwamapalala","mwamapalala","simiyu-mwamapalala-mwamapalala","-3.0198588 33.9063994 1279.216552734375 4.094","345ae204-dc0e-11ec-9416-9440c9ab47f0"
1148875,6,"simiyu","bariadi","dutwa","igaganulwa","igaganulwa","simiyu-dutwa-igaganulwa","-2.5205596 33.9705568 1226.0179443359375 4.824","34bb77ae-dc0e-11ec-9416-9440c9ab47f0"
1150216,6,"mwanza","kwimba","ngudu","kakola","kakola","mwanza-ngudu-kakola","-2.9533058 33.3396562 1198.62255859375 4.824","8f1ad2b6-dc14-11ec-9416-9440c9ab47f0"
1150503,6,"dodoma","bahi","nondwa","nondwa","nondwa","dodoma-nondwa-nondwa","-6.4412867 35.3437051 879.995288088445 5.0","61647c89-dc08-11ec-9416-9440c9ab47f0"
1150713,6,"katavi","mlele","majimoto","kitupa","majimoto.a","katavi-majimoto-majimoto.a","-7.2648428 31.3856309 942.7573749628949 5.0","616d7ada-dc08-11ec-9416-9440c9ab47f0"
1151624,6,"dodoma","bahi","makanda","makanda","makanda","dodoma-makanda-makanda","-5.7435244 35.3763822 850.1656003108059 5.0","34b92064-dc0e-11ec-9416-9440c9ab47f0"
1151673,6,"morogoro","ulanga","minepa","mavimba","mavimba","morogoro-minepa-mavimba","-8.3016157 36.6768771 260.3158878360539 4.288","62218a38-dc08-11ec-9416-9440c9ab47f0"
1151696,6,"katavi","mlele","usevya","usevya","usevya","katavi-usevya-usevya","-7.1023229 31.233341 918.6710145224217 5.0","6127542e-dc08-11ec-9416-9440c9ab47f0"
1151761,6,"mwanza","magu","nkungulu","ndagalu","kabila","mwanza-nkungulu-kabila","-2.735009 33.6199781 1187.2132568359375 4.873","8f923ff7-dc14-11ec-9416-9440c9ab47f0"
1152532,6,"dodoma","bahi","msisi","msisi","msisi","dodoma-msisi-msisi","-5.8434268 35.6267158 1039.6681653605376 4.7","617208f4-dc08-11ec-9416-9440c9ab47f0"
1152550,6,"morogoro","ulanga","mbuga","iputi","iputi","morogoro-mbuga-iputi","-9.015777 36.8762673 356.6743109473304 4.801","61437082-dc08-11ec-9416-9440c9ab47f0"
1153235,6,"mwanza","misungwi","masasi","manawa","misasi","mwanza-masasi-misasi","-3.0022943 33.0887375 1159.743408203125 4.288","b3a304ae-dc6d-11ec-9416-9440c9ab47f0"
1153347,6,"katavi","mlele","inyonga","kinyonga","inyonga","katavi-inyonga-inyonga","-6.725048 32.0738779 1155.3856748847256 4.309","b2dd90bf-dc6d-11ec-9416-9440c9ab47f0"
1153375,6,"morogoro","ulanga","biro","tanga","tanga","morogoro-biro-tanga","-9.0054267 36.0480217 288.7 3.9","b3d77af4-dc6d-11ec-9416-9440c9ab47f0"
1153640,6,"dodoma","dodoma.urban","mpunguzi","mpunguzi","mpunguzi","dodoma-mpunguzi-mpunguzi","-6.4008654 35.7423155 1054.1858014367524 5.0","dde676c8-dd36-11ec-9416-9440c9ab47f0"
1153726,6,"morogoro","ulanga","lukande","lukande","lukande","morogoro-lukande-lukande","-8.7802811 36.8349103 344.0423149345794 4.45","dd9f1798-dd36-11ec-9416-9440c9ab47f0"
1153837,6,"mtwara","masasi.township.authority","nyasa","upanga","upanga","mtwara-nyasa-upanga","-10.7359982 38.8195845 340.0 5.0","dd18adc9-dd36-11ec-9416-9440c9ab47f0"
1153926,6,"mbeya","mbarali","madibira","chalisuka","madibira","mbeya-madibira-madibira","-8.2240565 34.8309127 1060.437176574953 5.0","ddfde253-dd36-11ec-9416-9440c9ab47f0"
1154277,6,"rukwa","sumbawanga","muze","muze","muze","rukwa-muze-muze","-7.665454 31.5487759 825.1419668286479 4.888","083ce7b8-de00-11ec-9416-9440c9ab47f0"
