"","fid","date","date.final","country","region.final","district.final","ward.final","village.final","market.final","market.type","sheep.0to12","sheep.adult","goat.0to12","goat.adult","gps.coordinates.of.the.market","unique.row.identifier.uuid."
"1",1144620,2022-05-11,"2022-05-11",6,"dodoma","bahi","babayu","kongogo","kongogo",1,30,90,60,210,"-5.6538066 35.6187403 1040.0644900978577 4.0","62b29985-dc08-11ec-9416-9440c9ab47f0"
"2",1145144,2022-05-12,"2022-05-12",6,"dodoma","bahi","ibihwa","mnkola","mnkola",1,15,50,35,100,"-5.9346842 35.4383612 990.7112921718095 4.7","62d225a2-dc08-11ec-9416-9440c9ab47f0"
"3",1145633,2022-05-13,"2022-05-13",6,"dodoma","bahi","kigwe","kigwe","kigwe",1,30,120,50,350,"-6.0889371 35.491647 924.3427414922903 5.0","357a7290-dc0e-11ec-9416-9440c9ab47f0"
"4",1146642,2022-05-16,"2022-05-16",6,"simiyu","maswa","lalago","lalago","lalago",1,10,30,30,100,"-3.4358319 33.9405 1171.271484375 4.533","351793e3-dc0e-11ec-9416-9440c9ab47f0"
"5",1147457,2022-05-14,"2022-05-14",6,"dodoma","bahi","ibugule","nkhome","nkhome",1,10,60,20,180,"-6.3373539 35.549861 1041.3886282826682 4.9","35717c6b-dc0e-11ec-9416-9440c9ab47f0"
"6",1147538,2022-05-17,"2022-05-17",6,"simiyu","bariadi","bariadi","kidinda","kidinda",1,150,250,200,300,"-2.7988641 33.9777762 1268.3284912109375 4.801","356017b4-dc0e-11ec-9416-9440c9ab47f0"
"7",1148683,2022-05-18,"2022-05-19",6,"simiyu","itilima","mwamapalala","mwamapalala","mwamapalala",1,7,30,10,20,"-3.0198238 33.9062779 1299.979248046875 4.158","3596a8dc-dc0e-11ec-9416-9440c9ab47f0"
"8",1148872,2022-05-19,"2022-05-19",6,"simiyu","bariadi","dutwa","igaganulwa","igaganulwa",1,80,150,50,200,"-2.5205421 33.970354 1233.0184326171875 3.9","3521c69d-dc0e-11ec-9416-9440c9ab47f0"
"9",1150217,2022-05-21,"2022-05-21",6,"mwanza","kwimba","ngudu","kakola","kakola",1,20,50,10,25,"-2.9533458 33.3396628 1193.8148193359375 4.853","90054d71-dc14-11ec-9416-9440c9ab47f0"
"10",1150502,2022-05-21,"2022-05-21",6,"dodoma","bahi","nondwa","nondwa","nondwa",1,10,40,50,150,"-6.4411915 35.3433722 873.3194875804551 4.8","62c9c6d8-dc08-11ec-9416-9440c9ab47f0"
"11",1150714,2022-05-22,"2022-05-22",6,"katavi","mlele","majimoto","kitupa","majimoto.a",1,160,40,30,200,"-7.2635507 31.3848406 940.9713934739699 4.927","62aa3590-dc08-11ec-9416-9440c9ab47f0"
"12",1151625,2022-05-18,"2022-05-23",6,"dodoma","bahi","makanda","makanda","makanda",1,30,70,50,250,"-5.7433756 35.3763431 894.9948543450956 5.0","356b2696-dc0e-11ec-9416-9440c9ab47f0"
"13",1151679,2022-05-23,"2022-05-23",6,"morogoro","ulanga","minepa","mavimba","mavimba",1,7,31,5,32,"-8.3017127 36.6760251 261.4326232634583 4.288","62ec42fa-dc08-11ec-9416-9440c9ab47f0"
"14",1151697,2022-05-23,"2022-05-23",6,"katavi","mlele","usevya","usevya","usevya",1,6,20,11,48,"-7.102324 31.2333236 919.3382946646698 5.0","633e49f4-dc08-11ec-9416-9440c9ab47f0"
"15",1151760,2022-05-23,"2022-05-23",6,"mwanza","magu","nkungulu","ndagalu","kabila",1,50,150,100,250,"-2.7350484 33.6194977 1184.134521484375 3.977","9033fe16-dc14-11ec-9416-9440c9ab47f0"
"16",1152531,2022-05-23,"2022-05-23",6,"dodoma","bahi","msisi","msisi","msisi",1,15,40,35,70,"-5.843581 35.6266279 1050.0520629954503 4.7","62e5b98c-dc08-11ec-9416-9440c9ab47f0"
