fid,date,date.end,date.of.interview,date.final,country,region.final,district.final,ward.final,village.final,market.final,market.type,respondent.role,other.market.visited,number.markets.visited,trader,trade.pattern,gps.coordinates.of.the.market.final,unique.row.identifier.uuid.
1144525,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Biashara ya Mifugo,1,5,1,Kununua mbuzi na kondoo na kuuza,-5.6538568 35.6185766 1026.2 4.96,2803c93b-dc16-11ec-9416-9440c9ab47f0
1144526,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima na Ufugaji,0,0,0,NA,-5.6538234 35.6186376 1068.1 4.0,27498591-dc16-11ec-9416-9440c9ab47f0
1144527,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,"Mkulima, Mfugaji",0,0,0,NA,-5.6536195 35.618563 1008.0 3.8,22a9b28b-dc16-11ec-9416-9440c9ab47f0
1144528,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima na mfugaji,0,0,0,NA,-5.65358 35.61844 992.0 4.9,2382189b-dc16-11ec-9416-9440c9ab47f0
1144529,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima,1,3,1,Kusimamia uuzaji wa mifugo kati ya mmiliki na muuzaji,-5.6537859 35.6185132 1031.4 3.75,27eec79f-dc16-11ec-9416-9440c9ab47f0
1144530,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima,1,3,0,NA,-5.6537658 35.6185629 1037.5 3.94,2a467fb5-dc16-11ec-9416-9440c9ab47f0
1144531,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima na mfugaji,0,0,0,NA,-5.6536751 35.6184004 1024.7 4.92,28ad1c18-dc16-11ec-9416-9440c9ab47f0
1144532,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mjairiamali wa mbuzi na kondoo,1,6,1,NA,-5.6538683 35.618715 1034.9 4.8,22a536c5-dc16-11ec-9416-9440c9ab47f0
1144533,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mfugaji,1,1,0,NA,-5.6538085 35.6186477 1046.5 4.7,2d644d97-dc16-11ec-9416-9440c9ab47f0
1144534,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mfugaji,1,1,0,NA,-5.65392 35.6184967 1048.9 4.4,21256a2f-dc16-11ec-9416-9440c9ab47f0
