"fid.see.mrktc.generalinfo.","unique.row.id.see.mrktc.generalinfo.","unique.row.id","1.what.are.the.activities.that.you.are.doing.in.this.market.today.","if.other.specify.5","type.of.place.see.mrktc.lkpsell.placetype.","if.other.specify","name.of.place.8","ward.9","district.10","3.what.is.your.main.reason.for.selling.these.sheep.and.or.goats.","if.other.specify.12","4.how.were.sheep.goats.transported.to.the.market.see.mrktc.lkpsell.trans.","if.other.specify.14","5.do.you.also.sell.other.animal.species.apart.from.sheep.and.goats.","if.yes.out.of.all.the.species.that.you.sell.which.species.do.you.sell.the.most.","if.other.specify.17","will.you.transport.the.sheep.goats.you.are.buying.today.","type.of.place.see.mrktc.lkpplacetype.","if.other.specify.20","name.of.place.21","ward.22","district.23","7.what.is.your.main.reason.for.buying.these.small.ruminants.","if.other.specify.25","8.how.will.you.transport.these.small.ruminants.that.you.are.buying.see.mrktc.lkpsell.trans.","if.other.specify.27","9.what.criteria.do.you.use.to.decide.which.small.ruminants.to.buy.","if.other.specify.29","10.what.other.species.of.animals.do.you.buy.apart.from.sheep.and.goats.","if.other.specify.31","11.if.the.prices.of.sheep.and.goats.increase.for.some.reason.e.g.a.shortage.of.animals.due.to.disease.will.you.still.buy.them.","if.no.which.other.species.will.you.consider.instead.","if.other.specify.34","if.yes.how.much.of.an.increase.in.the.current.price.of.sheep.and.goat.unit.price.of.live.animal.will.cause.you.to.change.your.purchasing.behaviour.to.another.animal.species","12.how.many.times.in.a.month.do.you.buy.or.sell.sheep.and.or.goats.in.this.market.","unique.row.identifier.uuid."
1144525,1,1,"3",NA,3,NA,"Kongogo","Babayu","Bahi","1",NA,2,NA,0,NA,NA,1,2,NA,"Mnada wa Kizota","Kizota","Dodoma mjini","1",NA,2,NA,"1 2 3 4 5 6",NA,NA,NA,0,"1",NA,NA,5,"2803f8b3-dc16-11ec-9416-9440c9ab47f0"
1144526,1,1,"1",NA,1,NA,"Lamaiti","Lamaiti","Bahi","6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2749c3a7-dc16-11ec-9416-9440c9ab47f0"
1144527,1,1,"1",NA,1,NA,"Chasa","Babayu","Chemba","5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22a9e106-dc16-11ec-9416-9440c9ab47f0"
1144528,1,1,"1",NA,1,NA,"Kongogo","Babayu","Bahi","5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23824477-dc16-11ec-9416-9440c9ab47f0"
1144529,1,1,"2",NA,3,NA,"Kongogo","Babayu","Bahi","2",NA,NA,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"6",NA,NA,NA,"3 1 2",NA,"1",NA,0,"4",NA,NA,3,"27eef748-dc16-11ec-9416-9440c9ab47f0"
1144530,1,1,"1",NA,1,NA,"Masimba","Masimba","Chemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2a46acbd-dc16-11ec-9416-9440c9ab47f0"
1144531,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Tinai","Msisi","Bahi","6",NA,1,NA,"5 1 3",NA,"1",NA,0,"4",NA,NA,1,"28ad5942-dc16-11ec-9416-9440c9ab47f0"
1144532,1,1,"3",NA,3,NA,"Kongogo","Babayu","Bahi","1",NA,2,NA,0,NA,NA,1,3,NA,"Kizota","Kizota","Dodoma mjini","1",NA,2,NA,"2 1 3 4",NA,NA,NA,1,NA,NA,NA,8,"22a5699f-dc16-11ec-9416-9440c9ab47f0"
1144533,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Chasi","Babayu","Chemba","2 3",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,1,"2d647d2b-dc16-11ec-9416-9440c9ab47f0"
1144534,1,1,"1",NA,1,NA,"Chasi","Babayu","Chemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2125995e-dc16-11ec-9416-9440c9ab47f0"
1144535,1,1,"1",NA,1,NA,"Chasi","Babayu","Chemba","1",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2d43a244-dc16-11ec-9416-9440c9ab47f0"
1144621,1,1,"3",NA,1,NA,"Tinai village","Msisi","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"1 4 2 3",NA,"1",NA,1,NA,NA,130000,1,"70485e5a-dc08-11ec-9416-9440c9ab47f0"
1144622,1,1,"1",NA,1,NA,"Kongogo","Babayu","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"754f82aa-dc08-11ec-9416-9440c9ab47f0"
1144623,1,1,"1",NA,1,NA,"Kongogo","Babayu","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6e01ef54-dc08-11ec-9416-9440c9ab47f0"
1144624,1,1,"3",NA,1,NA,"Kongogo","Babayu","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"1 2 3",NA,"-66","Sinunui aina nyingine ya wanyama",1,NA,NA,NA,1,"67dfcb9c-dc08-11ec-9416-9440c9ab47f0"
1144625,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Chase","Babayu","Chemba","5",NA,1,NA,"1 3 2",NA,"-66","Sinunui mifugo wengine",0,"-66","Sinunui",NA,1,"74b16c70-dc08-11ec-9416-9440c9ab47f0"
1144626,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Masimba","Babayu","Chemba","5",NA,2,NA,"1 3 2",NA,"4",NA,1,NA,NA,70000,1,"74748053-dc08-11ec-9416-9440c9ab47f0"
1144627,1,1,"3",NA,1,NA,"Kongogo","Babayu","Bahi","1",NA,1,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"2 1 3",NA,"1",NA,1,NA,NA,NA,1,"6fd19fd3-dc08-11ec-9416-9440c9ab47f0"
1144628,1,1,"3",NA,1,NA,"Kongogo","Babayu","Bahi","1",NA,-66,"Sijaleta mnyama sokoni bali nimekuja kununua",0,NA,NA,1,2,NA,"Dodoma","Dodoma mjini","Dodoma mjini","1",NA,2,NA,"1 3 2",NA,"-66","Sinunui aina nyinge ya wanyama",0,"-66","Sitanunua aina nyingine",NA,1,"6ef9ff79-dc08-11ec-9416-9440c9ab47f0"
1144630,1,1,"2",NA,1,NA,"Kongogo","Babayu","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"2 3 1",NA,"-66","Sinunui",1,NA,NA,120000,1,"73b27518-dc08-11ec-9416-9440c9ab47f0"
1144631,1,1,"1",NA,1,NA,"Mugondo","Babayu","Bahi","2 3",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75ef268d-dc08-11ec-9416-9440c9ab47f0"
1144632,1,1,"1",NA,1,NA,"Kongogo","Kongogo","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"717018a1-dc08-11ec-9416-9440c9ab47f0"
