fid,1.mrkt.activity,1.mrkt.activity.other,1.mrkt.activity.other.code,1.activity.sell,1.activity.middleman,1.activity.trade,1.activity.buy,1.activity.slaughter,1.activity.food,1.activity.other,1.activity.multi,2.sell.placetype.code,2.sell.placetype.other,2.sell.place.name,2.sell.place.ward,2.sell.place.district,2.sell.placetype.other.code,2.sell.village,2.sell.town,2.sell.market,2.sell.abattoir,2.sell.otherplace,3.sell.reason,3.sell.reason.other,3.sell.reason.other.code,3.sell.business,3.sell.household,3.sell.medical,3.sell.school,3.sell.livestocktreatment,3.sell.restock,3.sell.religious,3.sell.slaughter,3.sell.income,3.sell.agriculture,3.sell.food,3.sell.otherreason,3.sellreason.multi,4.sell.transport.type,4.sell.transport.other,4.sell.transport.other.code,4.sell.foot,4.sell.vehicle,4.sell.cart,4.sell.frommrkt,4.sell.othertransport,4.sell.unknowntransport,6.buy.placetype.code,6.buy.placetype.other,6.buy.place.name,6.buy.place.ward,6.buy.place.district,6.buy.transport.yesno,6.buy.placetype.other.code,6.buy.village,6.buy.town,6.buy.market,6.buy.abattoir,6.buy.otherplace,7.buy.reason,7.buy.reason.other,7.buy.reason.other.code,7.buy.business,7.buy.restock,7.buy.breedstock,7.buy.fattening,7.buy.rearing,7.buy.homeconsumption,7.buy.religious,7.buy.slaughter,7.buy.food,7.buy.informaltrade,7.buy.income,7.buy.otherreason,7.buyreason.multi,8.buy.transport.type,8.buy.transport.other,8.buy.transport.other.code,8.buy.foot,8.buy.vehicle,8.buy.cart,8.buy.motorbike,8.buy.slaughter,8.buy.atmarket,8.buy.othertransport,8.buy.unknowntransport,12.buy.sell.per.month,unique.row.identifier.uuid.
1144525,3,NA,NA,0,0,1,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,2,NA,mnada.wa.kizota,kizota,dodoma.mjini,1,NA,0,1,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,5,2803f8b3-dc16-11ec-9416-9440c9ab47f0
1144526,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,lamaiti,lamaiti,bahi,NA,1,0,0,0,0,6,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2749c3a7-dc16-11ec-9416-9440c9ab47f0
1144527,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,chasa,babayu,chemba,NA,1,0,0,0,0,5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,22a9e106-dc16-11ec-9416-9440c9ab47f0
1144528,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,23824477-dc16-11ec-9416-9440c9ab47f0
1144529,2,NA,NA,0,1,0,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,6,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,3,27eef748-dc16-11ec-9416-9440c9ab47f0
1144530,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,masimba,masimba,chemba,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2a46acbd-dc16-11ec-9416-9440c9ab47f0
1144531,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,tinai,msisi,bahi,1,NA,1,0,0,0,0,6,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,28ad5942-dc16-11ec-9416-9440c9ab47f0
1144532,3,NA,NA,0,0,1,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,3,NA,kizota,kizota,dodoma.mjini,1,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,8,22a5699f-dc16-11ec-9416-9440c9ab47f0
1144533,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,chasi,babayu,chemba,1,NA,1,0,0,0,0,2 3,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,0,0,0,0,1,2d647d2b-dc16-11ec-9416-9440c9ab47f0
1144534,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,chasi,babayu,chemba,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2125995e-dc16-11ec-9416-9440c9ab47f0
1144535,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,chasi,babayu,chemba,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2d43a244-dc16-11ec-9416-9440c9ab47f0
1144621,3,NA,NA,0,0,1,0,0,0,0,0,1,NA,tinai.village,msisi,bahi,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,70485e5a-dc08-11ec-9416-9440c9ab47f0
1144622,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,754f82aa-dc08-11ec-9416-9440c9ab47f0
1144623,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,6e01ef54-dc08-11ec-9416-9440c9ab47f0
1144624,3,NA,NA,0,0,1,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,67dfcb9c-dc08-11ec-9416-9440c9ab47f0
1144625,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,chase,babayu,chemba,1,NA,1,0,0,0,0,5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,74b16c70-dc08-11ec-9416-9440c9ab47f0
1144626,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,masimba,babayu,chemba,1,NA,1,0,0,0,0,5,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,1,74748053-dc08-11ec-9416-9440c9ab47f0
1144627,3,NA,NA,0,0,1,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,6fd19fd3-dc08-11ec-9416-9440c9ab47f0
1144628,3,NA,NA,0,0,1,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Sijaleta mnyama sokoni bali nimekuja kununua,NA,0,0,0,0,0,0,2,NA,dodoma,dodoma.mjini,dodoma.mjini,1,NA,0,1,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,1,6ef9ff79-dc08-11ec-9416-9440c9ab47f0
1144630,2,NA,NA,0,1,0,0,0,0,0,0,1,NA,kongogo,babayu,bahi,NA,1,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,73b27518-dc08-11ec-9416-9440c9ab47f0
1144631,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,mugondo,babayu,bahi,NA,1,0,0,0,0,2 3,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,75ef268d-dc08-11ec-9416-9440c9ab47f0
1144632,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,kongogo,kongogo,bahi,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,717018a1-dc08-11ec-9416-9440c9ab47f0
1144633,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,chinyika,mpendo,nchemba,NA,1,0,0,0,0,2 3,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,673638a7-dc08-11ec-9416-9440c9ab47f0
1144634,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,babayu,babayu,bahi,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,789c69e7-dc08-11ec-9416-9440c9ab47f0
1144635,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,NA,makorongo,makorongo,nchemba,1,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,1,75cd2725-dc08-11ec-9416-9440c9ab47f0
1144636,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,maziwa,nchemba,nchemba,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,6684a81d-dc08-11ec-9416-9440c9ab47f0
1144637,3,NA,NA,0,0,1,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Nimewakuta hapa hapa mnadani nikaanza kununua na kisha kuwauzaa hapa hapa,frommarket,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Siwasafirishi nawauza hapa hapa,at market,0,0,0,0,0,1,0,0,1,6d13f418-dc08-11ec-9416-9440c9ab47f0
1144638,3,NA,NA,0,0,1,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Sijawatoa  popote  nimenunua hapa hapa na ninawauzia hapa hapa,frommarket,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,-66,Siwasafirishi,NA,0,0,0,0,0,0,0,0,1,6c6fd5a2-dc08-11ec-9416-9440c9ab47f0
1144639,-66;4,Nanunua naenda kuchinja naweka buchani,"buy, slaughter",0,0,0,1,1,0,0,1,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,-66,Kuuza kama nyama,food vendor,0,0,0,0,0,1,0,0,0,0,1,0,1,-66,Mimi ni mnunuzi  tu,NA,0,0,0,0,0,0,2,NA,mnada.wa.zamani,miyuji,dodoma.mjini,1,NA,0,1,0,0,0,6 5,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1,2,NA,NA,0,1,0,0,0,0,0,0,1,6d88c217-dc08-11ec-9416-9440c9ab47f0
1144640,1,NA,NA,1,0,0,0,0,0,0,0,1,NA,babayu,babayu,bahi,NA,1,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,66345545-dc08-11ec-9416-9440c9ab47f0
1144641,1,NA,NA,1,0,0,0,0,0,0,0,3,NA,kongogo,babayu,bahi,NA,0,0,1,0,0,2,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,6c9223c5-dc08-11ec-9416-9440c9ab47f0
1144642,4,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,NA,dodoma,msalato,bahi,1,NA,0,0,1,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,1,0,0,0,0,0,0,1,6515cfba-dc08-11ec-9416-9440c9ab47f0
