"","district.region.name","ward.name.3","village.3","market.name.3","n"
"1","mtwara","chikolopola","chikolopola","chikolopola",4
"2","mtwara","kitangari","kitangari","kitangari",4
"3","mtwara","luchingu","luchingu","luchingu",4
"4","mtwara","lukuledi","lukuledi","lukuledi",19
"5","mtwara","mnavira","mnavira","mnavira",4
"6","mtwara","mnavira","muhesi","muhesi",4
"7","mtwara","mtonya","majengo","mtonya",4
"8","mtwara","mwena","chibwini","mwena",8
"9","mtwara","nangoo","mwongozo","nangoo",8
"10","mtwara","nangwala","nangwala","nangwala",4
"11","mtwara","ndomoni","ndomoni","ndomoni",12
"12","mtwara","tulindane","tupendane","tulindane",4
