"district.region.code","district.region.name","ward.code.2","ward.name.2","village.2","market.name.2","n"
61,"katavi",610105,"mamba","kilda.kona","kilda.kona",20
61,"katavi",610113,"sibwesa","minyagala","minyagala",37
61,"katavi",610113,"sibwesa","minyagala","sibwesa",13
61,"katavi",610113,"sibwesa","sibwesa","sibwesa",51
63,"mbeya",630111,"madibila","chalisuka","madibira",38
63,"mbeya",630111,"madibila","mkonywa","004",1
63,"mbeya",630116,"mamba","mamba","shinyanga",73
64,"mtwara",640102,"mnavira","mnavira","mnavira",4
64,"mtwara",640102,"mnavira","muhesi","muhesi",4
64,"mtwara",640122,"ndomoni","mbaju","ndomoni",4
64,"mtwara",640122,"ndomoni","ndomoni","ndomoni",8
