"district.region.code","district.region.name","ward.code","ward.name","village.1","market.name.1","n"
61,"katavi",610101,"kibaoni","kibaoni","kibaoni",29
61,"katavi",610101,"kibaoni","usevya","kibaoni",1
61,"katavi",610102,"usevya","ikuba","usevya",1
61,"katavi",610102,"usevya","usevya","usevya",31
61,"katavi",610105,"mamba","kilda.kona","kilda.kona",20
61,"katavi",610106,"majimoto","kitupa","majimoto",38
61,"katavi",610106,"majimoto","majimoto","majimoto",2
61,"katavi",610110,"inyonga","kinyonga","inyonga",53
61,"katavi",610111,"itenka","ibindi","itenka",1
61,"katavi",610111,"itenka","itenka.a","itenka",52
61,"katavi",610113,"sibwesa","477","sibwesa",1
61,"katavi",610113,"sibwesa","kabungu","minyagala",1
61,"katavi",610113,"sibwesa","minyagala","minyagala",35
61,"katavi",610113,"sibwesa","minyagala","sibwesa",12
61,"katavi",610113,"sibwesa","sibwesa","sibwesa",51
61,"katavi",610114,"tongwe","minyagala","minyagala",1
62,"simiyu",620101,"gilya","mwasamba","mwasamba",2
62,"simiyu",620116,"mwamapalala","mwamapalala","mwamapalala",34
62,"simiyu",620117,"dutwa","igaganulwa","dutwa",84
62,"simiyu",620118,"mwasamba","bushigwamara","mwasamba",2
62,"simiyu",620118,"mwasamba","kijereshi","mwasamba",2
62,"simiyu",620118,"mwasamba","lamadi","mwasamba",1
62,"simiyu",620118,"mwasamba","lutubiga","mwasamba",10
62,"simiyu",620118,"mwasamba","mwakiloba","mwasamba",2
62,"simiyu",620118,"mwasamba","mwamigongwa","mwasamba",1
62,"simiyu",620118,"mwasamba","mwangika","mwasamba",1
62,"simiyu",620118,"mwasamba","mwasamba","chabutwa",1
62,"simiyu",620118,"mwasamba","mwasamba","mwasamba",78
62,"simiyu",620119,"kidinda","ibulyu","kidinda",1
62,"simiyu",620119,"kidinda","imalilo","kidinda",1
62,"simiyu",620119,"kidinda","kidinda","kidinda",76
62,"simiyu",620120,"lalago","budekwa","lalago",1
62,"simiyu",620120,"lalago","chabushitara","lalago",1
62,"simiyu",620120,"lalago","igongwa","lalago",1
62,"simiyu",620120,"lalago","lalago","lalago",28
62,"simiyu",620120,"lalago","mbaragane","lalago",1
62,"simiyu",620120,"lalago","mnadani","lalago",1
62,"simiyu",620120,"lalago","mpandang.ombe","lalago",1
62,"simiyu",620120,"lalago","mwakidiga","lalago",1
62,"simiyu",620120,"lalago","mwamashindike","lalago",2
62,"simiyu",620120,"lalago","mwandete","lalago",1
62,"simiyu",620120,"lalago","nyalikungu","lalago",1
62,"simiyu",620120,"lalago","shinyanga.mwenge","lalago",2
62,"simiyu",620120,"lalago","somanda","lalago",1
62,"simiyu",620120,"lalago","sulu","lalago",2
62,"simiyu",620120,"lalago","zabazaba","lalago",1
62,"simiyu",620130,"sanga","mwasamba","mwasamba",1
63,"mbeya",630104,"mpogolo","chalisuka","madibira",1
63,"mbeya",630106,"utengule.usangu","utengule.usangu","utengule.usangu",59
63,"mbeya",630108,"rujewa","ihanga","rujewa",52
63,"mbeya",630109,"imalilosongwe","imalilosongwe","imalilosongwe",62
63,"mbeya",630109,"imalilosongwe","mwavala","imalilosongwe",1
63,"mbeya",630111,"madibila","chalisuka","madibira",30
63,"mbeya",630111,"madibila","madibira","madibira",6
63,"mbeya",630111,"madibila","madibira","shalisuka",1
63,"mbeya",630111,"madibila","mapogoro","mapogoro",1
63,"mbeya",630111,"madibila","mkonywa","004",1
63,"mbeya",630112,"imalilosongwe","imalilosongwe","imalilosongwe",15
63,"mbeya",630113,"mapogoro","mahango","mapogoro",1
63,"mbeya",630113,"mapogoro","mapogoro","mapogoro",26
63,"mbeya",630113,"mapogoro","mapogoro","muungano",1
63,"mbeya",630113,"mapogoro","utenguleusangu","utenguleusangu",1
63,"mbeya",630114,"igava","muungano","muungano",55
63,"mbeya",630116,"mamba","mamba","shinyanga",72
63,"mbeya",630116,"mamba","shinyanga","shinyanga",1
63,"mbeya",630117,"mtanila","igangwe","shauri.moyo",54
63,"mbeya",630117,"mtanila","isangawane","shaurimoyo",1
63,"mbeya",630117,"mtanila","ngalaiwe","shaurimoyo",12
