"district.region.code","district.region.name","ward.code.3","ward.name.3","village.3","market.name.3","n"
61,"katavi",610101,"kibaoni","kibaoni","kibaoni",30
61,"katavi",610102,"usevya","usevya","usevya",32
61,"katavi",610105,"mamba","kilda.kona","kilda.kona",20
61,"katavi",610106,"majimoto","kitupa","majimoto",40
61,"katavi",610110,"inyonga","kinyonga","inyonga",53
61,"katavi",610111,"itenka","itenka.a","itenka",53
61,"katavi",610113,"sibwesa","sibwesa","sibwesa",101
62,"simiyu",620116,"mwamapalala","mwamapalala","mwamapalala",34
62,"simiyu",620117,"dutwa","igaganulwa","dutwa",84
62,"simiyu",620118,"mwasamba","mwasamba","mwasamba",101
62,"simiyu",620119,"kidinda","kidinda","kidinda",78
62,"simiyu",620120,"lalago","lalago","lalago",45
63,"mbeya",630106,"utengule.usangu","utengule.usangu","utengule.usangu",60
63,"mbeya",630108,"rujewa","ihanga","rujewa",52
63,"mbeya",630109,"imalilosongwe","imalilosongwe","imalilosongwe",78
63,"mbeya",630111,"madibila","chalisuka","madibira",39
63,"mbeya",630113,"mapogoro","mapogoro","mapogoro",29
63,"mbeya",630114,"igava","muungano","muungano",55
63,"mbeya",630116,"mamba","mamba","shinyanga",73
63,"mbeya",630117,"mtanila","igangwe","shauri.moyo",67
64,"mtwara",640101,"mumbaka","mumbaka","mumbaka",33
64,"mtwara",640102,"mnavira","mnavira","mnavira",4
64,"mtwara",640102,"mnavira","muhesi","muhesi",4
64,"mtwara",640103,"sululu","maneme","nanyumbu",61
64,"mtwara",640104,"chanikanguo","chanikanguo","chanikanguo",30
64,"mtwara",640105,"mkundi","majembe","mkundi",20
64,"mtwara",640107,"nangoo","mwongozo","nangoo",8
64,"mtwara",640108,"mchauru","mchauru","mchauru",20
64,"mtwara",640109,"makong.onda","nakarara","makong.onda",20
64,"mtwara",640110,"chikolopola","chikolopola","chikolopola",4
64,"mtwara",640111,"mbuyuni","mbuyuni","mbuyuni",21
64,"mtwara",640112,"chiungutwa","chiungutwa","chiungutwa",22
64,"mtwara",640113,"mtandi","mtandi.b","mtandi",22
64,"mtwara",640114,"silabu","upanga","upanga",20
64,"mtwara",640116,"lukuledi","lukuledi","lukuledi",19
64,"mtwara",640118,"chiwale","kivukoni","chiwale",21
64,"mtwara",640119,"mwena","chibwini","mwena",8
64,"mtwara",640120,"namalenga","nagaga","namalenga",20
64,"mtwara",640121,"nanjota","nanjota","nanjota",28
64,"mtwara",640122,"ndomoni","ndomoni","ndomoni",12
64,"mtwara",640123,"kitangari","kitangari","kitangari",4
64,"mtwara",640124,"luchingu","luchingu","luchingu",4
64,"mtwara",640125,"nangwala","nangwala","nangwala",4
64,"mtwara",640126,"mtonya","majengo","mtonya",4
64,"mtwara",640127,"tulindane","tupendane","tulindane",4
65,"morogoro",650101,"minepa","mbuyuni","mbuyuni",56
65,"morogoro",650102,"milola","mavimba","mavimba",49
65,"morogoro",650104,"iragua","namhanga","mbenja",36
65,"morogoro",650106,"lukande","lukande","lukande",32
65,"morogoro",650107,"mbuga","iputi","iputi",28
65,"morogoro",650118,"itete","itete","itete",108
65,"morogoro",650119,"salamiti","kiswago","salamiti",95
65,"morogoro",650121,"tanga","tanga","tanga",38
65,"morogoro",650123,"namawala","idandu","kikurukutu",21
65,"morogoro",650124,"mofu","miyomboni","mofu",23
65,"morogoro",650127,"sagamaganga","sagamaganga","sagamaganga",44
65,"morogoro",650130,"rudewa.gongoni","gongoni","gongoni",43
65,"morogoro",650137,"mzia","mziha","mziha",57
66,"dodoma",660101,"nondwa","nondwa","nondwa",27
66,"dodoma",660102,"mundemu","mundemu","mundemu",22
66,"dodoma",660107,"msisi","msisi","msisi",30
66,"dodoma",660108,"ibihwa","mnkola","mnkola",30
66,"dodoma",660110,"bahi","bahi.sokoni","bahi",44
66,"dodoma",660114,"babayu","kongogo","kongogo",42
66,"dodoma",660115,"lamaiti","lamaiti","lamaiti",45
66,"dodoma",660116,"kigwe","kigwe","kigwe",56
66,"dodoma",660117,"ibugule","nkhome","nkhome",48
66,"dodoma",660118,"makanda","makanda","makanda",44
66,"dodoma",660119,"zanica","mayamaya","mayamaya",40
66,"dodoma",660120,"dodoma.mjini","mpunguzi","mpunguzi",35
68,"mwanza",680101,"ngudu","kakola","ngudu",69
68,"mwanza",680102,"kabila","ndagalu","kabila",79
68,"mwanza",680103,"misasi","manawa","misasi",75
70,"njombe",700101,"wangingombe","wanging.ombe","wanging.ombe",62
71,"rukwa",710101,"namanyele","isunta","isunta",55
71,"rukwa",710102,"kate","ntalamila","ntalamila",41
71,"rukwa",710103,"muze","muze","muze",43
71,"rukwa",710105,"kipeta","kilyamatundu","kilyamatundu",65
72,"songwe",720101,"mkomba","ntungwa","mbao",49
72,"songwe",720102,"idiwili","idiwili","idiwili",39
73,"iringa",730101,"itunundu","kimande","kimande",54
73,"iringa",730102,"ihowanza","ihowanza","ihowanza",45
