"dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist","acceptD0"
"bahi.dc","bahi","bahi.dc","bahi","dodoma",0,0,NA,"accept_D0"
"bariad.tc","bariad","bariadi.tc","bariadi","simiyu",0.0476190476190477,0.0333333333333334,NA,NA
"bariadi.busega.dc","bariadi.busega","bariadi.dc","bariadi","simiyu",0.166666666666667,0.137254901960784,NA,NA
"bariadi.cc.mc.tc","bariadi","bariadi.tc","bariadi","simiyu",0,0.158333333333333,NA,"accept_D1"
"bariadi.dc","bariadi","bariadi.dc","bariadi","simiyu",0,0,NA,"accept_D0"
"bariadi.tc","bariadi","bariadi.tc","bariadi","simiyu",0,0,NA,"accept_D0"
"baridi.tc","baridi","bariadi.tc","bariadi","simiyu",0.0476190476190477,0.0333333333333334,NA,NA
"baruadi.dc","baruadi","bariadi.dc","bariadi","simiyu",0.0952380952380952,0.122222222222222,NA,NA
"bunda.cc.mc.tc","bunda","bunda.tc","bunda","mara",0,0.18452380952381,NA,"accept_D1"
"bunda.dc","bunda","bunda.dc","bunda","mara",0,0,NA,"accept_D0"
"busega.dc","busega","busega.dc","busega","simiyu",0,0,NA,"accept_D0"
"chalinze.dc","chalinze","chalinze.dc","chalinze","pwani",0,0,NA,"accept_D0"
"chamwino.bahi.dc","chamwino.bahi","chamwino.dc","chamwino","dodoma",0.128205128205128,0.104166666666667,NA,NA
"chamwino.dc","chamwino","chamwino.dc","chamwino","dodoma",0,0,NA,"accept_D0"
"chemba.dc","chemba","chemba.dc","chemba","dodoma",0,0,NA,"accept_D0"
"chunya.dc","chunya","chunya.dc","chunya","mbeya",0,0,NA,"accept_D0"
"dar.es.salaam.dc","dar.es.salaam","mkalama.dc","mkalama","singida",0.446886446886447,0.295833333333333,NA,NA
"dodoma.cc","dodoma","dodoma.cc","dodoma","dodoma",0,0,NA,"accept_D0"
"dutwa.dc","dutwa","ludewa.dc","ludewa","njombe",0.261111111111111,0.163359788359788,NA,NA
"handeni.dc","handeni","handeni.dc","handeni","tanga",0,0,NA,"accept_D0"
"haneti.dc","haneti","handeni.tc","handeni","tanga",0.150793650793651,0.0888888888888889,NA,NA
"ifakara.cc.mc.tc","ifakara","ifakara.tc","ifakara","morogoro",0,0.158333333333333,NA,"accept_D1"
"ifakara.dc","ifakara","ifakara.tc","ifakara","morogoro",0,0.0666666666666668,NA,"accept_D1"
"ihowanza.dc","ihowanza","mwanga.dc","mwanga","kilimanjaro",0.277777777777778,0.195286195286195,NA,NA
"ihowanza.dc","ihowanza","hanang.dc","hanang","manyara",0.375,0.195286195286195,NA,NA
"ikuba.dc","ikuba","kibaha.dc","kibaha","pwani",0.261111111111111,0.163359788359788,NA,NA
"ikuba.dc","ikuba","bukoba.dc","bukoba","kagera",0.261111111111111,0.163359788359788,NA,NA
"ikuba.dc","ikuba","kwimba.dc","kwimba","mwanza",0.261111111111111,0.163359788359788,NA,NA
"ilala.dc","ilala","ilala.mc","ilala","dar.es.salaam",0,0.0833333333333334,NA,"accept_D1"
"ilemela.dc","ilemela","ilemela.mc","ilemela","mwanza",0,0.0666666666666668,NA,"accept_D1"
"imalilosongwe.dc","imalilosongwe","songwe.dc","songwe","songwe",0.585470085470085,0.18287037037037,NA,NA
"inyonga.dc","inyonga","shinyanga.dc","shinyanga","shinyanga",0.242063492063492,0.172222222222222,NA,NA
"iringa.cc.mc.tc","iringa","iringa.mc","iringa","iringa",0,0.17037037037037,NA,"accept_D1"
"iringa.dc","iringa","iringa.dc","iringa","iringa",0,0,NA,"accept_D0"
"iringa.mc","iringa","iringa.mc","iringa","iringa",0,0,NA,"accept_D0"
"irunda.dc","irunda","bunda.dc","bunda","mara",0.177777777777778,0.115740740740741,NA,NA
"itilima.dc","itilima","itilima.dc","itilima","simiyu",0,0,NA,"accept_D0"
"itilima.na.meatu.dc","itilima.na.meatu","itilima.dc","itilima","simiyu",0.1875,0.259649122807017,NA,NA
"itilima.na.meatu.maswa.dc","itilima.na.meatu.maswa","itilima.dc","itilima","simiyu",0.227272727272727,0.293333333333333,NA,NA
"jida.dc","jida","singida.dc","singida","singida",0.535714285714286,0.180952380952381,NA,NA
"kalambo.dc","kalambo","kalambo.dc","kalambo","rukwa",0,0,NA,"accept_D0"
"kalemela.dc","kalemela","ilemela.mc","ilemela","mwanza",0.130952380952381,0.157575757575758,NA,NA
"kamsamba.dc","kamsamba","mkalama.dc","mkalama","singida",0.214285714285714,0.149494949494949,NA,NA
"kibaha.dc","kibaha","kibaha.dc","kibaha","pwani",0,0,NA,"accept_D0"
"kigamboni.dc","kigamboni","kigamboni.mc","kigamboni","dar.es.salaam",0,0.0555555555555557,NA,"accept_D1"
"kigoma.dc","kigoma","kigoma.dc","kigoma","kigoma",0,0,NA,"accept_D0"
"kigwe.dc","kigwe","korogwe.dc","korogwe","tanga",0.20952380952381,0.141666666666667,NA,NA
"kigwe.dc","kigwe","buhigwe.dc","buhigwe","kigoma",0.20952380952381,0.141666666666667,NA,NA
"kigwe.dc","kigwe","karagwe.dc","karagwe","kagera",0.20952380952381,0.141666666666667,NA,NA
"kilindi.dc","kilindi","kilindi.dc","kilindi","tanga",0,0,NA,"accept_D0"
"kilombero.dc","kilombero","kilombero.dc","kilombero","morogoro",0,0,NA,"accept_D0"
"kilosa.dc","kilosa","kilosa.dc","kilosa","morogoro",0,0,NA,"accept_D0"
"kilwa.dc","kilwa","kilwa.dc","kilwa","lindi",0,0,NA,"accept_D0"
"kinondoni.dc","kinondoni","kinondoni.mc","kinondoni","dar.es.salaam",0,0.0555555555555557,NA,"accept_D1"
"kishapu.dc","kishapu","kishapu.dc","kishapu","shinyanga",0,0,NA,"accept_D0"
"kishapu.na.maswa.dc","kishapu.na.maswa","kishapu.dc","kishapu","shinyanga",0.1875,0.259649122807017,NA,NA
"kisii.kenya.dc","kisii.kenya","kibiti.dc","kibiti","pwani",0.323232323232323,0.240740740740741,NA,NA
"kwima.dc","kwima","kwimba.dc","kwimba","mwanza",0.0555555555555556,0.0370370370370371,NA,NA
"kwimba.bariadi.dc","kwimba.bariadi","kwimba.dc","kwimba","mwanza",0.19047619047619,0.213507625272331,NA,NA
"kwimba.dc","kwimba","kwimba.dc","kwimba","mwanza",0,0,NA,"accept_D0"
"lamadi.dc","lamadi","lindi.dc","lindi","lindi",0.3,0.194444444444445,NA,NA
"lindi.dc","lindi","lindi.dc","lindi","lindi",0,0,NA,"accept_D0"
"lukande.dc","lukande","ludewa.dc","ludewa","njombe",0.357142857142857,0.166203703703704,NA,NA
"magigiwe.dc","magigiwe","mbogwe.dc","mbogwe","geita",0.277777777777778,0.195286195286195,NA,NA
"magu.dc","magu","magu.dc","magu","mwanza",0,0,NA,"accept_D0"
"makambako.tc","makambako","makambako.tc","makambako","njombe",0,0,NA,"accept_D0"
"makanda.dc","makanda","madaba.dc","madaba","ruvuma",0.253968253968254,0.14537037037037,NA,NA
"makanda.ya.manyoni.dc","makanda.ya.manyoni","nyamagana.mc","nyamagana","mwanza",0.347222222222222,0.292568542568543,NA,NA
"makete.dc","makete","makete.dc","makete","njombe",0,0,NA,"accept_D0"
"malinyi.dc","malinyi","malinyi.dc","malinyi","morogoro",0,0,NA,"accept_D0"
"manda.dc","manda","mpanda.dc","mpanda","katavi",0.0555555555555556,0.0370370370370371,NA,NA
"manyoni.dc","manyoni","manyoni.dc","manyoni","singida",0,0,NA,"accept_D0"
"mapanda.dc","mapanda","mpanda.dc","mpanda","katavi",0.186507936507937,0.125925925925926,NA,NA
"mapo.dc","mapo","manyoni.dc","manyoni","singida",0.273809523809524,0.180952380952381,NA,NA
"mara.dc","mara","mtwara.dc","mtwara","mtwara",0.111111111111111,0.0740740740740742,NA,NA
"masasi.dc","masasi","masasi.dc","masasi","mtwara",0,0,NA,"accept_D0"
"masasi.nachingwea.dc","masasi.nachingwea","masasi.dc","masasi","mtwara",0.215686274509804,0.237037037037037,NA,NA
"masasi.nachingwea.dc","masasi.nachingwea","masasi.tc","masasi","mtwara",0.215686274509804,0.237037037037037,NA,NA
"masasi.nanyumbu.dc","masasi.nanyumbu","nanyumbu.dc","nanyumbu","mtwara",0.536111111111111,0.250841750841751,NA,NA
"masasi.newala.dc","masasi.newala","masasi.dc","masasi","mtwara",0.17948717948718,0.145833333333333,NA,NA
"massi.dc","massi","masasi.dc","masasi","mtwara",0.0555555555555556,0.0370370370370371,NA,NA
"masuguru.dc","masuguru","magu.dc","magu","mwanza",0.25,0.168831168831169,NA,NA
"maswa.dc","maswa","maswa.dc","maswa","simiyu",0,0,NA,"accept_D0"
"matemela.dc","matemela","makete.dc","makete","njombe",0.247222222222222,0.169612794612795,NA,NA
"mawsa.dc","mawsa","maswa.dc","maswa","simiyu",0.0666666666666668,0.0416666666666667,NA,NA
"mb.dc","mb","rombo.dc","rombo","kilimanjaro",1,0.125,NA,NA
"mb.dc","mb","mbeya.dc","mbeya","mbeya",0.2,0.125,NA,NA
"mb.dc","mb","mbozi.dc","mbozi","songwe",0.2,0.125,NA,NA
"mb.dc","mb","momba.dc","momba","songwe",0.433333333333333,0.125,NA,NA
"mb.dc","mb","mbulu.dc","mbulu","manyara",0.2,0.125,NA,NA
"mba.dc","mba","mbeya.dc","mbeya","mbeya",0.311111111111111,0.0833333333333334,NA,NA
"mba.dc","mba","momba.dc","momba","songwe",0.488888888888889,0.0833333333333334,NA,NA
"mbarali.dc","mbarali","mbarali.dc","mbarali","mbeya",0,0,NA,"accept_D0"
"mbeya.dc","mbeya","mbeya.dc","mbeya","mbeya",0,0,NA,"accept_D0"
"mbeya.iringa.na.newala.dc","mbeya.iringa.na.newala","nyamagana.mc","nyamagana","mwanza",0.374158249158249,0.322222222222222,NA,NA
"mbozi.dc","mbozi","mbozi.dc","mbozi","songwe",0,0,NA,"accept_D0"
