"","2.sell.placetype.other"
"1",NA
"2","Nawatoa m8nada tofauti tofauti"
"3","Anakuja kununua"
"4","Nimewanunua hapahapa mnadani"
"5","Hapahapa mnadani"
"6","Hapa mnadani"
"7","Kwa watu binafsi"
"8","Ndio nimekuja kununua na kuuza"
"9","Nimekuja kunuju hapa"
"10","Njiani ( kijiji cha mziha wakati anaelekea mnada wa mziha)"
"11","Amekuja kununua"
"12","Kwasasa nimekuja kununua"
"13","Mnadani Gongoni"
"14","Nauza mbuzi wa hapahapa"
"15","Nawakuta mnadani"
"16","Mimi ni mfanyabiashara nakuja tu kununua na kusafirisha"
"17","Hajaleta mbuzi wa kuuza Ila amekuja kununua mbuzi."
"18","Pikipiki"
"19","Nimekuja kununua nakupeleka kwa walanguzi au wauza supu"
"20","Ananunua mifugo kwa wafugaji njiani kabla ya kuwaleta mnadani"
"21","Nimewanunua hapa mnadani"
"22","Mtaa wa pambazuko ulioko Ifakara mjini"
"23","Yeye ni Mswagaji"
