"","4.sell.transport.other"
"1",NA
"2","Sijaleta mnyama sokoni bali nimekuja kununua"
"3","Nimewakuta hapa hapa mnadani nikaanza kununua na kisha kuwauzaa hapa hapa"
"4","Sijawatoa  popote  nimenunua hapa hapa na ninawauzia hapa hapa"
"5","Mimi ni mnunuzi  tu"
"6","Nawakuta tu mnadani hapa hapa"
"7","Nimewakuta hapa hapa  mnadani"
"8","Mimi nakuja tu kununua mifugo na kusafirisha mikoani"
"9","Wamefikishwa na wafugaji toka sehemu tofauti tofauti"
"10","Nimewakuta hapa mnadani"
"11","Nimewanunua hapahapa mnadani"
"12","Nimewanunua hapa mnadani"
"13","Nimenunua hapahapa mnadani kwa mfugaji"
"14","Nanunua na kuwauzia watu hapa"
"15","Nanunua na kuwauza hela napata nkwa bosi ninayemkusanyia"
"16","Nanunua na kuuza hivyo sirudi na mfugo wowote ule"
"17","Nanunua na kuuza tu hapa mnadani nyumbani narudi na chakula na pesa sio mifugo"
"18","Sisafirishi  nauzia wafanyabiashara wakubwa"
"19","Nimewakuta  hapa hapa mnadani nanua nauzia wafanya biashara wakubwa wanaotoka mjini"
"20","Pikipiki"
"21","Hasafirishi"
"22","Hakuwa na mbuzi wala kondoo"
"23","Baiskeli"
"24","Nimekuja bila mfugo nanunua na kuuza"
"25","Nakuja bila mfugo"
"26","Nimenunua hapa mnadani"
"27","Nawanunua mnadani na nawauza hapahapa mnadani"
"28","Sisafirishi nauza nyama tu hapahapa"
"29","Nawnujulia mnadani na kuwasafirisha"
"30","Nawanunua na kuwauza hapahap"
"31","Nanunua hapa na naenda kuuza mnada wa upili"
"32","Nawanunua hapahapa mnadani , sijawasafirisha"
"33","Me siuzi nakuja tu kununua"
"34","Inategemea na soko siku hiyo"
"35","Ananunua hapo mnadani na kisha kuuza kwa watu wengine"
"36","Ananunua na kuuza hapo mnadani"
"37","Bajaji"
"38","Sijaja na mbuzi"
"39","Weka kwenye tenga na kusafirisha kwa  baiskeli"
"40","Ananunua hapo hapo mnadani"
"41","Kaiskeli"
"42","Amenunua hapo mnada"
"43","Ananunua na kuuza hapo hapo mnadani"
"44","Kwenye pikipiki kwa kutumia Matenga"
"45","Ananunua na kuuza hapa hapa sokoni"
"46","Amewanunua hapa sokoni anawapeleka soko linginekuwauza"
"47","Anapakia kwenye pikipiki"
"48","Ananunua na kuuza mbuzi hapahapa sokoni"
"49","Amewanunua hapa hapa sokoni"
"50","Amewanunua kutoka kwa wafugaji hapahapa sokoni walioleta kuuza"
"51","Kwa pikipiki"
"52","Kwa njia ya pikipiki"
"53","Hanunui wala kuuza"
"54","Yeye hununua hapo mnadani na kisha kuuza"
"55","Amewanunua hapa sokoni"
"56","Amewanunua hapa hapa mnadani  kwa wafugaji"
"57","Amewanunua kwa wafugaji wanaoleta kutoka vijiji vya jirani"
"58","Hajaleta mbuzi wala kondoo amewakuta mnadani"
"59","Amenunua hapo hapo mnadani"
"60","Amenunua hapo mnadani"
"61","Bodaboda"
"62","Naweka kwenye mkokoteni naleta sokoni"
"63","Siwasafirishi"
"64","Nachinja mnadani hapa"
"65","Siendi na mifugo mnadani  nawakuta"
"66","Nimewapata hapahapa mnadani"
"67","Nanunua mnadani na kuuza mnadani"
"68","Amenunua mnadani"
"69","Amewanunua mnadani hapahapa."
"70","Amewanunua hapa mnadani"
"71","Amewanunua hapa hapa mnadani"
"72","Amewanunua hapa mnadani."
"73","Amewanunua kwa wafugaji walioleta hapa mnadani"
"74","Kubeba kwenye pikipiki"
"75","Pikipiki ( ndani ya tenga)"
"76","Pikipiki ya miguu mitatu"
"77","Nawakuta mnadani"
"78","Anawauza hapo mnadani wakibaki anapeleka mnada mwingine"
"79","Anawanunua hapa hapa mnadani"
"80","Amewauza hapa kwa wachuuzi wanaosafirisha"
"81","Amewanunua mnadani hapahapa"
"82","Kawanunua hapahapa mnadani"
"83","Amewaninua kwa wafugaji walioleta hapa mnadani."
"84","Amewanunua hapa hapa mnadani kwa wafugaji"
"85","Amewanunua mnada hapa hapa Kimande"
"86","Nawakuta mnadani siendi na mifugo"
