"ET_ID","Region_Nam","District_N","Ward_Name","region","district","ward"
0,"Dodoma","Kondoa","Bumbuta","dodoma","kondoa","bumbuta"
1,"Dodoma","Kondoa","Pahi","dodoma","kondoa","pahi"
2,"Dodoma","Kondoa","Haubi","dodoma","kondoa","haubi"
3,"Dodoma","Kondoa","Kalamba","dodoma","kondoa","kalamba"
4,"Dodoma","Kondoa","Kwadelo","dodoma","kondoa","kwadelo"
5,"Dodoma","Kondoa","Masange","dodoma","kondoa","masange"
6,"Dodoma","Kondoa","Kikilo","dodoma","kondoa","kikilo"
7,"Dodoma","Kondoa","Bereko","dodoma","kondoa","bereko"
8,"Dodoma","Kondoa","Kisese","dodoma","kondoa","kisese"
9,"Dodoma","Kondoa","Kikore","dodoma","kondoa","kikore"
10,"Dodoma","Kondoa","Serya","dodoma","kondoa","serya"
11,"Dodoma","Kondoa","Kilimani","dodoma","kondoa","kilimani"
12,"Dodoma","Kondoa","Chemchem","dodoma","kondoa","chemchem"
13,"Dodoma","Kondoa","Hondo mairo","dodoma","kondoa","hondo.mairo"
14,"Dodoma","Kondoa","Bolisa","dodoma","kondoa","bolisa"
15,"Dodoma","Kondoa","Kinyasi","dodoma","kondoa","kinyasi"
16,"Dodoma","Kondoa","Salanka","dodoma","kondoa","salanka"
17,"Dodoma","Kondoa","Itololo","dodoma","kondoa","itololo"
18,"Dodoma","Kondoa","Itaswi","dodoma","kondoa","itaswi"
19,"Dodoma","Kondoa","Suruke","dodoma","kondoa","suruke"
20,"Dodoma","Kondoa","Kingale","dodoma","kondoa","kingale"
21,"Dodoma","Kondoa","Kondoa mjini","dodoma","kondoa","kondoa.mjini"
22,"Dodoma","Kondoa","Kolo","dodoma","kondoa","kolo"
23,"Dodoma","Kondoa","Changaa","dodoma","kondoa","changaa"
24,"Dodoma","Kondoa","Thawi","dodoma","kondoa","thawi"
25,"Dodoma","Kondoa","Mnenia","dodoma","kondoa","mnenia"
26,"Dodoma","Kondoa","Soera","dodoma","kondoa","soera"
27,"Dodoma","Mpwapwa","Mazae","dodoma","mpwapwa","mazae"
28,"Dodoma","Mpwapwa","Vingh'awe","dodoma","mpwapwa","vingh.awe"
