"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"1","alabama","minazini","malinyi.dc","morogoro","maja","bamba","Kongowe","Kibaha TC","pwani","maja-bamba",0.180952380952381,1,NA
"2","alabama","minazini","malinyi.dc","morogoro","maja","bamba","Kongowe","Kibaha TC","pwani","maja-bamba",0.180952380952381,1,NA
"3","bagamoyo","bagamoyo","pwani","pwani","bagamoyo","dunda","Dunda","Bagamoyo DC","pwani","bagamoyo-dunda",0.142857142857143,0,NA
"4","bangamoyo","bangamoyo","bahi.dc","dodoma","bagamoyo","dunda","Dunda","Bagamoyo DC","pwani","bagamoyo-dunda",0.17989417989418,1,NA
"5","biti","biti","bariadi.dc","simiyu","bitare","bitare","Bitare","Kibondo DC","kigoma","bitare-bitare",0.230769230769231,0.444444444444445,NA
"6","biti","biti","bariadi.dc","simiyu","bitoto","bitoto","Buyagu","Sengerema DC","mwanza","bitoto-bitoto",0.230769230769231,0.555555555555556,NA
"7","biti","biti","bariadi.dc","simiyu","bitale","bitale","Bitale","Kigoma DC","kigoma","bitale-bitale",0.230769230769231,0.444444444444445,NA
"8","bugunguli","buhunda","misungwi.dc","mwanza","mbuguni","mbuguni","Mbuguni","Meru DC","arusha","mbuguni-mbuguni",0.234259259259259,0.444444444444445,NA
"9","bumhala","buhala","bariadi.dc","simiyu","bumba","bumba","Mlingano","Bumbuli DC","tanga","bumba-bumba",0.277056277056277,1,NA
"10","bumhala","buhala","bariadi.dc","simiyu","mhale","mhale","Kikeo","Mvomero DC","morogoro","mhale-mhale",0.277056277056277,0.569444444444445,NA
"11","buzunza","kidinda","bariadi.tc","simiyu","buza","buza","Buza","Temeke MC","dar es salaam","buza-buza",0.242063492063492,0.585470085470085,NA
"12","bwage","mzia","mvomero.dc","morogoro","ibwaga","ibwaga","Ugogoni","Kongwa DC","dodoma","ibwaga-ibwaga",0.297435897435897,0.472222222222222,NA
"13","bwage","mzia","mvomero.dc","morogoro","wagete","wagete","Rigicha","Serengeti DC","mara","wagete-wagete",0.297435897435897,0.416666666666667,NA
"14","bwage","mzia","mvomero.dc","morogoro","bwanga","bwanga","Bwanga","Chato DC","geita","bwanga-bwanga",0.297435897435897,1,NA
"15","bwage","mziha","mvomero.dc","morogoro","ibwaga","ibwaga","Ugogoni","Kongwa DC","dodoma","ibwaga-ibwaga",0.297435897435897,0.472222222222222,NA
"16","bwage","mziha","mvomero.dc","morogoro","wagete","wagete","Rigicha","Serengeti DC","mara","wagete-wagete",0.297435897435897,0.416666666666667,NA
"17","bwage","mziha","mvomero.dc","morogoro","bwanga","bwanga","Bwanga","Chato DC","geita","bwanga-bwanga",0.297435897435897,1,NA
