"","place","wdr.A","wdr.B","dist"
"1","alabama","minazini-malinyi.dc-morogoro","mngazi-morogoro.dc-morogoro",0.180555555555556
"2","bwage","mzia-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.111111111111111
"3","bwage","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"4","bwage.nyumbani","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"5","bwawani","kiberenge-ifakara.tc-morogoro","kiberege-kilombero.dc-morogoro",0.0370370370370371
"6","chikole","kangakero-malinyi.dc-morogoro","kanga-mvomero.dc-morogoro",0.148148148148148
"7","chingali","njiwa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.266666666666667
"8","dungo","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"9","ifakara","mlabani-ifakara.tc-morogoro","mkambarani-morogoro.dc-morogoro",0.180952380952381
"10","ifakara","viwanja.sitini-ifakara.tc-morogoro","kiwanja.cha.ndege-morogoro.mc-morogoro",0.319327731092437
"11","ifakara","viwanjasitini-ifakara.tc-morogoro","mkwatani-kilosa.dc-morogoro",0.346153846153846
"12","igawa","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"13","igawa.nyumbani","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"14","igumbilo","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"15","igumbilo","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"16","igumbilo","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"17","igumbilo","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"18","igumbilo.milola.na.mavimba","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"19","igumbilo.milola.na.mavimba","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"20","igumbilo.milola.na.mavimba","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"21","igumbilo.milola.na.mavimba","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"22","igumbiro","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"23","igumbiro","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"24","igumbiro","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"25","igumbiro","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"26","igumbiro.nyumbani","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"27","igumbiro.nyumbani","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"28","igumbiro.nyumbani","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"29","igumbiro.nyumbani","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"30","ihowewanga","ihowewanga-malinyi.dc-morogoro","ngoheranga-malinyi.dc-morogoro",0.247619047619048
"31","izigila","jikwiti-ulanga.dc-morogoro","mikumi-kilosa.dc-morogoro",0.357142857142857
"32","kakonji","mzia-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.111111111111111
"33","kibatula","mzia-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.111111111111111
"34","kibatula","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"35","kibatula.nyumbani","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"36","kiberenge","kiberenge-ifakara.tc-morogoro","kiberege-kilombero.dc-morogoro",0.0370370370370371
"37","kiberenge.nyumbani","kiberenge-ifakara.tc-morogoro","kiberege-kilombero.dc-morogoro",0.0370370370370371
"38","kichangani","viwanja.sitini-ifakara.tc-morogoro","kiwanja.cha.ndege-morogoro.mc-morogoro",0.319327731092437
"39","kijiji.cha.lyandu.nyumbani","uponera-ulanga.dc-morogoro","konde-morogoro.dc-morogoro",0.323809523809524
"40","kijiji.mziha","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"41","kiningi.na","kiningi.na-ifakara.tc-morogoro","kisanga-kilosa.dc-morogoro",0.261904761904762
"42","kiningi.na","kiningi.na-ifakara.tc-morogoro","tindiga-kilosa.dc-morogoro",0.261904761904762
"43","kipingo","signal-kilombero.dc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"44","kipingo","signali-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.206349206349206
"45","kipingo","sugnal-ifakara.tc-morogoro","usangule-malinyi.dc-morogoro",0.194444444444445
"46","kipingu","signal-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"47","kitiwale","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"48","kitiwele.nyumbani","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"49","kivingu","kivungu-kilosa.dc-morogoro","kibungo.juu-morogoro.dc-morogoro",0.199134199134199
"50","kivungu","kivungu-kilosa.dc-morogoro","kibungo.juu-morogoro.dc-morogoro",0.199134199134199
"51","kizunguzi","ilonga-kilosa.dc-morogoro","ilonga-ulanga.dc-morogoro",0
"52","kwabeko","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"53","kwakonje","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"54","likaye","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"55","lipangalala","lipangalala-ifakara.tc-morogoro","langali-mvomero.dc-morogoro",0.199134199134199
"56","lupemenda","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"57","lupunga","lupunga-malinyi.dc-morogoro","lumuma-kilosa.dc-morogoro",0.253968253968254
"58","lupunga","lupunga-malinyi.dc-morogoro","ilonga-ulanga.dc-morogoro",0.253968253968254
"59","madabadaba","minazini-malinyi.dc-morogoro","mngazi-morogoro.dc-morogoro",0.180555555555556
"60","madizini","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"61","madukani","lipangalala-ifakara.tc-morogoro","langali-mvomero.dc-morogoro",0.199134199134199
"62","maloto","kimamba-kilosa.dc-morogoro","kimamba.a-kilosa.dc-morogoro",0.0740740740740742
"63","maloto","kimamba-kilosa.dc-morogoro","kimamba.b-kilosa.dc-morogoro",0.0740740740740742
"64","mavimba","mavimba-ulanga.dc-morogoro","mlimba-kilombero.dc-morogoro",0.150793650793651
"65","mavimba","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"66","mavimba","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"67","mavimba","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"68","mavimba","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"69","mavimba.itobanilo","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"70","mavimba.itobanilo","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"71","mavimba.itobanilo","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"72","mavimba.itobanilo","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"73","mavimba.kaliagogo.nyumbani","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"74","mavimba.kaliagogo.nyumbani","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"75","mavimba.kaliagogo.nyumbani","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"76","mavimba.kaliagogo.nyumbani","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"77","mavimba.kanyagatwende","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"78","mavimba.kanyagatwende","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"79","mavimba.kanyagatwende","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"80","mavimba.kanyagatwende","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"81","mavimba.kijijini","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"82","mavimba.kijijini","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"83","mavimba.kijijini","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"84","mavimba.kijijini","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"85","mawale","parakuyo-kilosa.dc-morogoro","gairo-gairo.dc-morogoro",0.341666666666667
"86","mbeha","mbeha-mvomero.dc-morogoro","mvuha-morogoro.dc-morogoro",0.266666666666667
"87","mbeha","mbeha-mvomero.dc-morogoro","mbuga-ulanga.dc-morogoro",0.266666666666667
"88","milola","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"89","milola","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"90","milola","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"91","milola","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"92","minazini","minazini-malinyi.dc-morogoro","mngazi-morogoro.dc-morogoro",0.180555555555556
"93","misufini.uhuru.park","misufini-morogoro.mc-morogoro","mikumi-kilosa.dc-morogoro",0.277777777777778
"94","misufini.uhuru.park","misufini-morogoro.mc-morogoro","msingisi-gairo.dc-morogoro",0.277777777777778
"95","mkomange","igawa-malinyi.dc-morogoro","bigwa-morogoro.mc-morogoro",0.133333333333333
"96","mkongeni","dakawa-mvomero.dc-morogoro","ifakara-ifakara.tc-morogoro",0.253968253968254
"97","mnarani","mnarani-ifakara.tc-morogoro","mkwatani-kilosa.dc-morogoro",0.220238095238095
"98","mwaya.nyumbani.na.wengine.mnada.wa.lukande","kata.ya.mwaya.na.kata.ya.lukande-ulanga.dc-morogoro","mkwatani-kilosa.dc-morogoro",0.421130952380952
"99","mzia","mzia-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.111111111111111
"100","mziha","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"101","mziha.kwakonji","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"102","mziha.nyumbani","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"103","namwawala","namwawala-malinyi.dc-morogoro","uwanja.wa.taifa-morogoro.mc-morogoro",0.299470899470899
"104","nanji.igumbilo","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"105","nanji.igumbilo","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"106","nanji.igumbilo","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"107","nanji.igumbilo","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
