place,ward.A,dist.A,reg.A
bagamoyo,bagamoyo,pwani,pwani
bangamoyo,bangamoyo,bahi.dc,dodoma
biti,biti,bariadi.dc,simiyu
bomba.mbili,bomba.mbili,songea.dc,ruvuma
bumhala,buhala,bariadi.dc,simiyu
buzunza,kidinda,bariadi.tc,simiyu
bwawani,kiberenge,ifakara.tc,morogoro
chala,chala,namanyere,namanyere
chalisuka,madibira,mufindi.dc,iringa
chamalendi,chamalendi,mpimbwe.dc,katavi
chamela,chamela,kwimba.dc,mwanza
chanikanguo,chanikanguo,masasi.dc,mtwara
chanikanguocha,chanikanguo,masasi.dc,mtwara
chapwa,chapwa,mbozi.dc,songwe
chikole,kangakero,malinyi.dc,morogoro
chikukwe,chikukwe,masasi.dc,mtwara
chilulumo,chilulumo,mbeya.dc,mbeya
chilungulu,chilungulu,bahi.dc,dodoma
chingali,njiwa,malinyi.dc,morogoro
chinongwe,chinongwe,masasi.dc,mtwara
chipole,chipole,masasi.dc,mtwara
chipole,mumbaka,masasi.dc,mtwara
chita,melela,mlimba,mlimba
chitandi,nangwala,newala.dc,mtwara
dar.es.salaam,dar.es.salaam,dar.es.salaam,dar.es.salaam
dar.es.salaam,pugu,pugu,pugu
daresalamu,pugu,pugu,pugu
dodoma,dodoma,chamwino.bahi,chamwino.bahi
dodoma,dodoma,dodoma.cc,dodoma
dodoma,dodoma.mjini,dodoma.cc,dodoma
dodoma,kisasa,dodoma.cc,dodoma
dodoma.na.dar.es.salaam,dodoma.na.dar.es.salaam,dodoma.cc,dodoma
dudulu,dudulu,itilima.dc,simiyu
dutwa.mwasamba,dutwa.lamadi,bariadi.busega,bariadi.busega
faranji,igava,momba.dc,songwe
farm.17,nachingwea,masasi.dc,mtwara
farm.17.nachingwea.mihima.lukuledi.mpanyani.ndomoni,nachingwea.mpanyani.lukuledi,nachingwea.mpanyani.lukuledi,nachingwea.mpanyani.lukuledi
fitumbi,magunga,chunya.dc,mbeya
gasima,gasuma,bariadi.dc,simiyu
gasuma,gasuma,bariadi.dc,simiyu
giliku,giliku,bariadi.tc,simiyu
gohe,gohee,kilindi.dc,tanga
gombe.nyumbani,lukande,lukande,lukande
halaka,hezia,mbozi.dc,songwe
handeni,handeni,handeni.dc,tanga
handeni,handeni,tanga.cc,tanga
haneti,haneti,haneti,haneti
hatete,hatete,mbozi.dc,songwe
ibilishi,ibilishi,maswa.dc,simiyu
ibilisi,katuma,tanganyika,tanganyika
ibolyo,ibolyo,bariadi.dc,simiyu
idandu,namawala,mlimba,mlimba
idandu,namwawala,mlimba,mlimba
idandu.nyumbani,namwawala,mlimba,mlimba
idumulavanu,ihowanza,muf,muf
ifakara,mlabani,ifakara.tc,morogoro
ifakara,viwanja.sitini,ifakara.tc,morogoro
ifakara,viwanjasitini,ifakara.tc,morogoro
igaganulwa,dutwa,dutwa,dutwa
igalula,mpanda.ndogo,tanganyika,tanganyika
igawa,igawa,malinyi.dc,morogoro
igawa.nyumbani,igawa,malinyi.dc,morogoro
igoma,igoma,kalemela,kalemela
igumbilo,milola,ulanga.dc,morogoro
igumbilo.milola.na.mavimba,milola,ulanga.dc,morogoro
igumbiro,milola,ulanga.dc,morogoro
igumbiro.nyumbani,milola,ulanga.dc,morogoro
iguru,iguru,bariadi.dc,simiyu
iheha,mad,mbarali.dc,mbeya
ihenga,mofu,mlimba,mlimba
ihowanza,ihowanza,ihowanza,ihowanza
ihowewanga,ihowewanga,malinyi.dc,morogoro
ikizi,ikizi,nkasi.dc,rukwa
ikola,ikola,tanganyika,tanganyika
ikuba,ikuba,ikuba,ikuba
ikuba,ikuba,wilaya,wilaya
ikunguligu,ikunguligu,itilima.dc,simiyu
ilengo,mkomba,momba.dc,songwe
imalauduki,kamsisi,mlele.dc,katavi
imalilosongwe,imalilosongwe,songwe.dc,songwe
imarauduki,kamsisi,mlele.dc,katavi
irunda,irunda,irunda,irunda
isale,isale,namanyere,namanyere
isale,isunta,namanyere,namanyere
isangawana,isangawana,chunya.dc,mbeya
isanzu,manda,momba.dc,songwe
isazya,mkomba,momba.dc,songwe
isunta,isunta,namanyere,namanyere
itenka,itenka,tanganyika,tanganyika
itimaa,ngwala,chunya.dc,mbeya
itindi,paramawe,nkasi.dc,rukwa
itindi,swahila,nkasi.dc,rukwa
ivuna,momba,sumbawanga.dc,rukwa
izigila,jikwiti,ulanga.dc,morogoro
jida,jida,jida,jida
jija,jija,bariadi.dc,simiyu
kabage,sibwesa,tanganyika,tanganyika
kabatini,katuma,tanganyika,tanganyika
kabila,kabila,kwimba.dc,mwanza
kabungu,kabungu,tanganyika,tanganyika
kadashi,kadashi,kwimba.dc,mwanza
kaelele,mpembe,tanganyika,tanganyika
kaenze,sibwesa,tanganyika,tanganyika
kagunga,kasekese,tanganyika,tanganyika
kagunga,katuma,tanganyika,tanganyika
kagunga,sibwesa,tanganyika,tanganyika
kahele,katuma,tanganyika,tanganyika
kakoma,kakoma,namanyere,namanyere
kalemela,kalemela,magu.dc,mwanza
kalenga,mofu,mlimba,mlimba
kalenga.nyumbani,mofu,mlimba,mlimba
kalyalya,kalyalya,kigoma.dc,kigoma
kambanga,kibo,tanganyika,tanganyika
kambi.ya.fisi,napupa,masasi.dc,mtwara
kamsabwa,kamsabwa,sumbawanga.dc,rukwa
kamsamba,kamsamba,sumbawanga.dc,rukwa
kamsanga,igalula,tanganyika,tanganyika
kamsisi,kamsisi,mlele.dc,katavi
kanindi,majimoto,sumbawanga.dc,rukwa
kanoge,sibwesa,tanganyika,tanganyika
kanoge,uzega,inyonga,inyonga
kapalamsenga,kapalamsenga,tanganyika,tanganyika
kapanga,katuma,tanganyika,tanganyika
kaparamsenga,kaparamsenga,tanganyika,tanganyika
karenga,mofu,mlimba,mlimba
kasekese,kasekese,tanganyika,tanganyika
kasekese,sibwesa,tanganyika,tanganyika
kashishi,kashishi,mpimbwe.dc,katavi
katuma,katuma,tanganyika,tanganyika
katumbila,katumbila,nkasi.dc,rukwa
kaulolo,inyonga,wilaya,wilaya
kayenze,katuma,tanganyika,tanganyika
kiberenge,kiberenge,ifakara.tc,morogoro
kiberenge.nyumbani,kiberenge,ifakara.tc,morogoro
kichangani,mgeta,mlimba,mlimba
kichangani,viwanja.sitini,ifakara.tc,morogoro
kidalimanda,kidalimanda,bariadi.dc,simiyu
kidinda,kidi,bariadi.dc,simiyu
kidinda,kidinda,bariadi.dc,simiyu
kidinda,kidinda,bariadi.tc,simiyu
kidinda.mnadani,kidinda,bariadi.tc,simiyu
kidulya,kidinda,bariadi.tc,simiyu
kidulya,kidulya,bariadi.dc,simiyu
kidulya,kidulya,bariadi.tc,simiyu
kiji,igangwe,chunya.dc,mbeya
kijiji.cha.lyandu.nyumbani,uponera,ulanga.dc,morogoro
kikurukutu,namawala,mlimba,mlimba
kikurukutu,namwawala,mlimba,mlimba
kilabela,banemhi,bariadi.dc,simiyu
kilulu,bunamala,bariadi.dc,simiyu
kiningi.na,kiningi.na,ifakara.tc,morogoro
kintinku,kintinku,bahi.dc,dodoma
kinyika,kinyika,iringa.dc,iringa
kinzoka,kinzoka,songwe.dc,songwe
kipingo,signali,ifakara.tc,morogoro
kipingo,sugnal,ifakara.tc,morogoro
kipingu,signal,ifakara.tc,morogoro
kisasa,kisasa,dodoma.cc,dodoma
kisasa,kisasa,iringa.dc,iringa
kisasa,makuru,bahi.dc,dodoma
kisesa,imalamoto,bariadi.dc,simiyu
kisii.kenya,kisii.kenya,kenya,kenya
kitiwale,igawa,malinyi.dc,morogoro
kitiwele.nyumbani,igawa,malinyi.dc,morogoro
kiwanda.cha.kongoa.kibaha,kongoa,kibaha.dc,pwani
