"place","ward.A","ward.B","ward.A.dist","wdr.A","wdr.B"
"alabama","minazini","malinyi",0.320238095238095,"minazini-malinyi.dc-morogoro","malinyi-malinyi.dc-morogoro"
"bangamoyo","bangamoyo","babayu",0.296296296296296,"bangamoyo-bahi.dc-dodoma","babayu-bahi.dc-dodoma"
"bankolo","lmaaiti","lamaiti",0.0476190476190477,"lmaaiti-bahi.dc-dodoma","lamaiti-bahi.dc-dodoma"
"biro","biro","lupiro",0.25,"biro-ulanga.dc-morogoro","lupiro-ulanga.dc-morogoro"
"biti","biti","sapiwi",0.388888888888889,"biti-bariadi.dc-simiyu","sapiwi-bariadi.dc-simiyu"
"bugunguli","buhunda","buhingo",0.285714285714286,"buhunda-misungwi.dc-mwanza","buhingo-misungwi.dc-mwanza"
"bunamala","bunamala","bunamhala",0.0370370370370371,"bunamala-bariadi.tc-simiyu","bunamhala-bariadi.tc-simiyu"
"bunamhala","bunamhala","nyamalapa",0.222222222222222,"bunamhala-itilima.dc-simiyu","nyamalapa-itilima.dc-simiyu"
"bungulwa","nhundi","ng.hundi",0.0833333333333334,"nhundi-kwimba.dc-mwanza","ng.hundi-kwimba.dc-mwanza"
"bushigwamara","kalemala","kalemela",0.130952380952381,"kalemala-busega.dc-simiyu","kalemela-busega.dc-simiyu"
"buzunza","kidinda","isanga",0.357142857142857,"kidinda-bariadi.tc-simiyu","isanga-bariadi.tc-simiyu"
"bwage","mzia","mtibwa",0.25,"mzia-mvomero.dc-morogoro","mtibwa-mvomero.dc-morogoro"
"bwage","mziha","mhonda",0.3,"mziha-mvomero.dc-morogoro","mhonda-mvomero.dc-morogoro"
"bwage","mziha","mtibwa",0.3,"mziha-mvomero.dc-morogoro","mtibwa-mvomero.dc-morogoro"
"bwage.nyumbani","mziha","mhonda",0.3,"mziha-mvomero.dc-morogoro","mhonda-mvomero.dc-morogoro"
"bwage.nyumbani","mziha","mtibwa",0.3,"mziha-mvomero.dc-morogoro","mtibwa-mvomero.dc-morogoro"
"bwawani","chikopelo","chikola",0.158730158730159,"chikopelo-bahi.dc-dodoma","chikola-bahi.dc-dodoma"
"bwawani","kiberenge","kibaoni",0.328042328042328,"kiberenge-ifakara.tc-morogoro","kibaoni-ifakara.tc-morogoro"
"byuna","mwadobana","madobana",0.0370370370370371,"mwadobana-bariadi.dc-simiyu","madobana-bariadi.dc-simiyu"
"chalinze","chalinze","mkange",0.375,"chalinze-chalinze.dc-pwani","mkange-chalinze.dc-pwani"
"chalisuka","madibila","madibira",0.0833333333333334,"madibila-mbarali.dc-mbeya","madibira-mbarali.dc-mbeya"
"chalisuka","madibira","mapanda",0.30952380952381,"madibira-mufindi.dc-iringa","mapanda-mufindi.dc-iringa"
"chamalendi","chamalendi","mwamapuli",0.381481481481482,"chamalendi-mpimbwe.dc-katavi","mwamapuli-mpimbwe.dc-katavi"
"chamela","chamela","walla",0.323809523809524,"chamela-kwimba.dc-mwanza","walla-kwimba.dc-mwanza"
"chandulu","haya","mwamanga",0.416666666666667,"haya-magu.dc-mwanza","mwamanga-magu.dc-mwanza"
"chandulu","haya","kahangara",0.416666666666667,"haya-magu.dc-mwanza","kahangara-magu.dc-mwanza"
"chandulu","haya","shishani",0.416666666666667,"haya-magu.dc-mwanza","shishani-magu.dc-mwanza"
"chanikanguo","chanikanguo","chigugu",0.277056277056277,"chanikanguo-masasi.dc-mtwara","chigugu-masasi.dc-mtwara"
"chanikanguocha","chanikanguo","chigugu",0.277056277056277,"chanikanguo-masasi.dc-mtwara","chigugu-masasi.dc-mtwara"
"chapwa","chapwa","vwawa",0.3,"chapwa-mbozi.dc-songwe","vwawa-mbozi.dc-songwe"
"chase","makorongo","makanda",0.328042328042328,"makorongo-bahi.dc-dodoma","makanda-bahi.dc-dodoma"
"chibelela","chibelela","chihanga",0.351851851851852,"chibelela-dodoma.cc-dodoma","chihanga-dodoma.cc-dodoma"
"chibuji","nyang.honga","usagara",0.432900432900433,"nyang.honga-misungwi.dc-mwanza","usagara-misungwi.dc-mwanza"
"chibuji","nyangh.ongwa","usagara",0.44047619047619,"nyangh.ongwa-misungwi.dc-mwanza","usagara-misungwi.dc-mwanza"
"chifutuka","chifutuka","chikola",0.328042328042328,"chifutuka-bahi.dc-dodoma","chikola-bahi.dc-dodoma"
"chiguluka","chiguluka","chikola",0.243386243386243,"chiguluka-bahi.dc-dodoma","chikola-bahi.dc-dodoma"
"chikole","kangakero","usangule",0.351851851851852,"kangakero-malinyi.dc-morogoro","usangule-malinyi.dc-morogoro"
"chikoropola.sindano.na.mnavira","sindano.mnavira","sindano",0.177777777777778,"sindano.mnavira-masasi.dc-mtwara","sindano-masasi.dc-mtwara"
"chikukwe","chikukwe","chiwale",0.220238095238095,"chikukwe-masasi.dc-mtwara","chiwale-masasi.dc-mtwara"
"chilimba.mitonji.lupaso","chiungutwa.mbuyuni.lupaso","chiungutwa",0.2,"chiungutwa.mbuyuni.lupaso-masasi.dc-mtwara","chiungutwa-masasi.dc-mtwara"
"chilulumo","chilulumo","ilungu",0.296296296296296,"chilulumo-mbeya.dc-mbeya","ilungu-mbeya.dc-mbeya"
"chilulumo","mkomba","kamsamba",0.347222222222222,"mkomba-momba.dc-songwe","kamsamba-momba.dc-songwe"
"chilungulu","chilungulu","chipanga",0.291666666666667,"chilungulu-bahi.dc-dodoma","chipanga-bahi.dc-dodoma"
"chimendeli","chimendeli","chibelela",0.3,"chimendeli-bahi.dc-dodoma","chibelela-bahi.dc-dodoma"
"chingali","njiwa","mtimbira",0.45,"njiwa-malinyi.dc-morogoro","mtimbira-malinyi.dc-morogoro"
"chinongwe","chinongwe","chiungutwa",0.244444444444444,"chinongwe-masasi.dc-mtwara","chiungutwa-masasi.dc-mtwara"
"chipole","chipole","chiwale",0.19047619047619,"chipole-masasi.dc-mtwara","chiwale-masasi.dc-mtwara"
"chipole","mumbaka","mnavira",0.380952380952381,"mumbaka-masasi.dc-mtwara","mnavira-masasi.dc-mtwara"
"chitandi","nangwala","nandwahi",0.25,"nangwala-newala.dc-mtwara","nandwahi-newala.dc-mtwara"
"chiwona","makan.gwa","makang.wa",0.0370370370370371,"makan.gwa-chamwino.dc-dodoma","makang.wa-chamwino.dc-dodoma"
"chizomoche","mbabala","babayu",0.253968253968254,"mbabala-bahi.dc-dodoma","babayu-bahi.dc-dodoma"
"chonde","manda","mpanda.ndogo",0.194444444444444,"manda-mpanda.dc-katavi","mpanda.ndogo-mpanda.dc-katavi"
"chonga","myula","kala",0.366666666666667,"myula-nkasi.dc-rukwa","kala-nkasi.dc-rukwa"
"chunya.mjini","chunya.mjini","chokaa",0.416666666666667,"chunya.mjini-chunya.dc-mbeya","chokaa-chunya.dc-mbeya"
"dar.es.salam","pugu","kiburugwa",0.425925925925926,"pugu-temeke.mc-dar.es.salaam","kiburugwa-temeke.mc-dar.es.salaam"
"dodoma","dodoma","dom.makulu",0.311111111111111,"dodoma-dodoma.cc-dodoma","dom.makulu-dodoma.cc-dodoma"
"dodoma","dodoma.mjini","dom.makulu",0.383333333333333,"dodoma.mjini-dodoma.cc-dodoma","dom.makulu-dodoma.cc-dodoma"
"dodoma","kisasa","ipala",0.3,"kisasa-dodoma.cc-dodoma","ipala-dodoma.cc-dodoma"
