"fid (see mrktc_idtable)","Unique Row ID","End time","Deviceid","Date","Country (see mrkta_lkpcountry)","Enumerator name (see mrkta_lkpenum)","Enter Password","Get selected staff current password","District/ Region (see mrkta_lkpregion)","Ward (see mrkta_lkpward)","Village","Date of interview","Interview code","Name of market","Type of market (see mrktc_lkpmrkt_type)","Respondent role","Gender of respondent (see mrktc_lkpresp_gender)","Respondent age (see mrktc_lkpresp_age)","13. Have you visited other markets to sell or buy sheep and goats in the past one month?","Number of other markets you have visited to sell or buy sheep and goats in the past one month","Researcher: Is this person a trader, meaning they buy and sell animals as a business?","14. What is your usual pattern of trading sheep and/or goats?","15. What are the main disease problems that you observe in the sheep and/or goats at this time?","16. Have you seen a disease with signs of nasal discharge, coughing, diarrhoea, eye discharge, sores in the mouth – in your own animals or someone else’s flock?","If yes, what is the local name of the disease?","Where did you see it?","When did you see it?","Did any animals die?","How many animals died?","What species died? (see mrktc_lkpdse_deathsspecies)","Other information?","Any other remarks?","GPS Coordinates of the market","Unique Row Identifier (UUID)"
"975373","1","2021-02-28T11:26:20","collect:AwmARgGnzC6806NY","2021-02-23T00:00:00","2","2016","2016","2016","24","2401","BOUSSIN","2021-02-23","SEBS06","Marché de Boussin","1","Acheteur","1","3","0","","1","De Boussin à fatine","Soumaya, desaikoron","1","Foko foko Bana","Boussin, FATINA","2020-12-01","1","2","1","","","13.5143229 -5.9374969 324.26001220703125 4673.0","fcb87abe-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","2021-02-28T11:44:43","collect:AwmARgGnzC6806NY","2021-02-23T00:00:00","2","2016","2016","2016","24","2401","BOUSSIN","2021-02-23","SEBS07","Marché de Boussin","1","Acheteur","1","3","0","","1","Chaque dimanche il achète à YOLO et Boussin","Tonrontie, foko foko dimi","0","","","","","","","","","13.5143229 -5.9374969 324.26001220703125 4673.0","f8edbf29-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","2021-02-28T11:54:06","collect:AwmARgGnzC6806NY","2021-02-23T00:00:00","2","2016","2016","2016","24","2401","BOUSSIN","2021-02-23","SEBS08","Marché Boussin","1","Acheteur","1","2","0","","1","Il part dans tous les villages acheter et amène chez lui","Maya, konobolie, yere yere","1","Moura ba, fofo dimi","Monipe","2020-11-01","1","3","3","","","13.5143229 -5.9374969 324.26001220703125 4673.0","f851724b-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","2021-02-28T12:15:23","collect:AwmARgGnzC6806NY","2021-02-23T00:00:00","2","2016","2016","2016","24","2401","BOUSSIN","2021-02-23","SEBS09","Marché Boussin","1","Acheteur","1","2","1","3","1","Il achète a Boussin et amène chez lui après une autre vente ou acheteurs","Moura","0","","","","","","","","Rien à signaler","13.5143229 -5.9374969 324.26001220703125 4673.0","fa41bd7b-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","2021-02-28T12:03:21","collect:AwmARgGnzC6806NY","2021-02-23T00:00:00","2","2016","2016","2016","24","2401","BOUSSIN","2021-02-23","SEBS10","Marché Boussin","1","Acheteur","1","3","0","","1","Il achète a Boussin, Katiena, Niono , Fatoma, Cinzana gare","Tonrontie, Maya","1","Nianamini","BOUSSIN","2021-02-01","1","2","3","","","13.5143229 -5.9374969 324.26001220703125 4673.0","fe9de927-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","2021-03-01T21:28:32","collect:AwmARgGnzC6806NY","2021-03-01T00:00:00","2","2016","2016","2016","24","2401","SÉGOU","2021-03-01","SEBS07","CITE COMATEX","1","Acheteurs","1","2","0","","1","Il achète et amène chez lui pour des embouche et revendre","Safa, biedimi, Soumaya","0","","","","","","","","","13.4309299 -6.2268103 0.0 2299.999","fa7b72ff-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","2021-03-01T21:32:47","collect:AwmARgGnzC6806NY","2021-03-01T00:00:00","2","2016","2016","2016","24","2401","SEGOU","2021-03-01","SEBS06","CITE COMATEX","1","Acheteur","1","2","0","","1","Il achète et revendre","Moura, Safa","0","","","","","","","","","13.4269588 -6.2128765 0.0 400.0","fcd80248-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","2021-02-28T12:17:24","collect:1jtYiuuy40y07T7P","2021-02-23T00:00:00","2","2014","2014","2014","24","2401","BOUSSIN","2021-02-23","SEBS11","BOUSSIN","1","ACHETEUR","1","2","1","3","1","JE COMMENCE À BOUSSIN ,JE LES EMMÈNE CHEZ MOI ENSUITE ILS SERONT DIRIGÉS VERS NIONO","MOURA, RESPIRATION DIFFICILE,DERMATOSES, FIÈVRE APHTEUSE, PIÉTIN","0","","","","","","","","RAS","13.506544 -5.9346123 322.20083124915243 4.68","f92655b6-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","2021-02-28T12:18:57","collect:1jtYiuuy40y07T7P","2021-02-23T00:00:00","2","2014","2014","2014","24","2401","BOUSSIN","2021-02-23","SEBS12","BOUSSIN","1","ACHETEUR","1","2","0","","1","JE LES ACHÈTE POUR LES REVENDRE AU MÊME MARCHÉ","AFFECTIONS PULMONAIRES,DERMATOSES","0","","","","","","","","RAS","13.5065471 -5.9345795 322.32290533661876 4.866","fb55932a-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","2021-02-28T12:20:33","collect:1jtYiuuy40y07T7P","2021-02-23T00:00:00","2","2014","2014","2014","24","2401","BOUSSIN","2021-02-23","SEBS13","BOUSSIN","1","ACHETEUR","1","2","0","","1","JE LES ACHÈTE ET REVENDS SUR PLACE","DERMATOSES,DISTOMATOSE, PIÉTIN","0","","","","","","","","RAS","13.5065371 -5.9345812 324.21919390726333 4.86","fd1c51e8-beed-11eb-8cbd-5cb901ddeae0"
