"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"975373","1","1","4","","","","","","","","","","","","","","1","3","","FATINE","FATINE","SEGOU","5 1","","2","","2 1","","5","","1","","","5000","3","fcb8ad23-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","4","","","","","","","","","","","","","","1","3","","YOLO","YOLO","SEGOU","1","","2","","8 2 1","","-66","Il n`achète pas d`autre","1","","","20000","4","f8ede7e2-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","4","","","","","","","","","","","","","","1","3","","BOUSSIN","BOUSSIN","SEGOU","1","","2","","2 1","","5","","1","","","25000","20","f8519baf-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","4","","","","","","","","","","","","","","1","1","","BOUSSIN","BOUSSIN","SEGOU","5 1","","2","","8 1 2","","4 1","","1","","","10000","20","fa41f22a-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","4","","","","","","","","","","","","","","1","3","","BOUSSIN","BOUSSIN","SEGOU","1","","2","","2 1","","-66","Il n`achète pas d`autre","1","","","20000","2","fe9e1467-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","4","","","","","","","","","","","","","","1","2","","CITE COMATEX","CITE COMATEX","SEGOU","1 5","","2","","1 2 5","","1","","1","","","20000","3","fa7b9984-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","4","","","","","","","","","","","","","","1","2","","CITE COMATEX","CITE COMATEX","SEGOU","1 8 7","","1","","1 2 8","","1","","1","","","10000","3","fcd82fc5-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","4","","","","","","","","","","","","","","1","3","","NIONO","NIONO","SÉGOU","1 5 7","","2","","1 2 7 6 3 8","","1","","1","","","35000","4","f9267ef1-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","4","","","","","","","","","","","","","","0","","","","","","1","","","","1 2 3","","-66","JE N`ACHÈTE QUE DE PETITS RUMINANTS","1","","","15000","4","fb55cb91-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","4","","","","","","","","","","","","","","0","","","","","","1","","1","","1 2 3 8","","-66","JE N`ACHÈTE QUE DE PETITS RUMINANTS","1","","","10000","4","fd1c7c2e-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","3","","3","","BOUSSIN","BOUSSIN","SÉGOU","1","","3","","0","","","0","","","","","","1","","3","","1 2 3 6 8","","-66","JE N`ACHÈTE ET VENDS QUE DE PETITS RUMINANTS","1","","","25000","4","f8f79c61-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","3","","3","","FATINÈ","FATINÈ","SÉGOU","1 3 4 2 5","","2","","1","1","","1","1","","BOUSSIN","BOUSSIN","SÉGOU","1","","1","","1 2 3 6 7 8","","1","","0","1","","","4","fd990edd-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","4","","","","","","","","","","","","","","1","1","","DIORO","DIORO","SEGOU","1 5","","2","","1 2","","1","","1","","","5000","12","fbcaf35b-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","4","","","","","","","","","","","","","","1","3","","CITE COMATEX","CITE COMATEX","SEGOU","1 5","","1","","1 2 5","","1","","1","","","10000","4","fc265f01-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","3","","1","","BOUSSIN","BOUSSIN","SÉGOU","1 4 3 2","","1","","0","","","1","3","","PELENGANA","PELENGANA NORD","SÉGOU","1","","1","","1 2 3","","-66","JE N`ACHÈTE QUE DE PETITES RUMINANTS","1","","","25000","4","f9aaa52b-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","2 4","","3","","Fatiné","Fatiné","Ségou","1 4 2","","2","","0","","","1","1","","Doukabougou","Doukabougou","Ségou","1 5","","2","","1 2 -66","Pas d`autres vente","-66","","","","","","14","f8406961-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","3","","1","","SANSANDING","SANSANDING","SÉGOU","1 3 2","","2","","0","","","1","1","","SANSANDING","SANSANDING","SÉGOU","1","","2","","1 2 3","","-66","MES SONT BASÉES SUR LES PETITS RUMINANTS","1","","","20000","2","f961100f-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","3","","2","","SÉGOU","CITÉ COMATEX","SÉGOU","1 3 4","","2","","1","1","","1","1","","FAÎRA","FAÎRA","SÉGOU","1","","2","","1 2 3 8","","1","","1","","","30000","4","f8719f15-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","1","4","","","","","","","","","","","","","","1","2","","PELENGANA","PELENGANA NORD","SÉGOU","4 7 8","","2","","2 3 1","","","","1","","","37000","1","fd9d1f6c-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","3","","3","","KONONDIMINI","KONONDIMINI","SÉGOU","2 1","","2","","0","","","1","1","","FALÉMA","FALÉMA","SÉGOU","1","","2","","3 2 1","","4","","1","","","15000","4","f9860fad-beed-11eb-8cbd-5cb901ddeae0"
"975398","1","1","1","","1","","BOUSSIN","BOUSSIN","SÉGOU","1 2","","-66","Je les achète sur place et les vendre sur place","0","","","","","","","","","","","","","","","","","","","","","","fa8393c7-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","1","1","","3","","- Dioro (marché secondaire) - - Yolo (marché primaire) - - Markala (marché secondaire) - - Ségou (marché primaire)","Dioro ,Yolo,Markala, Ségou","SÉGOU","1","","-66","Mes animaux sont transport par Moto","0","","","","","","","","","","","","","","","","","","","","","","fc465829-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","3","","3","","Djouna","Djouna","SÉGOU","1","","1","","0","","","1","1","","Djouna","Djouna","Ségou","1 5","","1","","5 3 7 1","","-66","C`est seulement les moutons et chèvres qui j`achète et vendre","1","","","20000","4","f8ea934c-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1 3","","3","","Katiana","Katiana","SÉGOU","1","","2","","0","","","1","3","","Katiana","Katiana","Ségou","1","","2","","1 4 2","","-66","Rien","1","","","30000","4","f82df94e-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","1","1","","1","","Djouna","Djouna","Ségou","1","","-66","Moto","0","","","","","","","","","","","","","","","","","","","","","","f80971a5-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","","1","","Boussin,Katiana","Boussin, Katiana","Ségou","1","","2","","1","1","","","","","","","","","","","","","","","","","","","","","fb120142-beed-11eb-8cbd-5cb901ddeae0"
"975405","1","1","1","","3","","Cinzana care,Dougabougou","Cinzana care et Dougabougou","Ségou","1 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fe88ed69-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","1","3","","3","","Ségou","Ségou","Ségou","2","","1","","0","","","0","","","","","","2","","1","","1 3 2","","-66","Rien de tout ça","0","-66","Rien du tout","","4","fd6c2ccb-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","3 1","","1","","Cinzana care, Tona","Cinzana care et Tona ","Ségou","1","","2","","0","","","1","3","","KONONDIMINI","KONONDIMINI","Ségou","1","","2","","1 2 3 6","","-66","Rien à signaler","1","","","25000","4","fb22aa20-beed-11eb-8cbd-5cb901ddeae0"
"975408","1","1","1","","3","","Niono","Niono","Ségou","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","f9fb2e4c-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","1","1","","3","","Katièna","Katièna","SEGOU","1","","-66","Par moto","0","","","","","","","","","","","","","","","","","","","","","","fec050b0-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","1","2","","3","","Village de Diakènèbougou.","Diakènèbougou ( commune de DIORO)","SEGOU","1","","2","","0","","","1","1","","Diakènèbougou( commune de DIORO)","Diakènèbougou","SEGOU","1","","2","","1","","-66","Je n`achète que des petits ruminants.","1","","","50000","5","fd6fea40-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","3","","3","","Fatinè (marché primaire) - YOLO(marché primaire) - DIORO (marché secondaire)","","SEGOU","1","","2","","0","","","1","3","","Fatinè (marché primaire) - YOLO (marché primaire) - DIORO (marché secondaire)","","SEGOU","1","","2","","2 6 1","","-66","Non je ne vend que des moutons et fées Chèvres.","1","","","85000","4","f9c11b5e-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","3","","3","","Fatinè (marché primaire) - Katièna (marché primaire)","","SEGOU","2","","-66","Je les transporte à moto.","0","","","1","1","","N`GOUMANI( commune de YOLO)","N`GOUMANI","SEGOU","1","","2","","2 1 6","","1 5","","1","","","35000","4","fd85ebe2-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","3","","3","","DIORO (marché secondaire) - YOLO (marché primaire)","","SEGOU","2","","3","","1","4","","1","3","","DIORO (marché secondaire) - YOLO (marché primaire)","","SEGOU","2","","3","","1 2","","4","","1","","","50000","4","f7f3d905-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","2","","3","","Marché de SEGOU","Cité COMATEX","SEGOU","2 6","","3","","0","","","1","1","","Soungobougou","Soungobougou","SEGOU","1","","3","","1 2 3","","-66","Je ne vend que des petits ruminants.","1","","","60000","4","f91fd5e2-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","3","","3","","BOUSSIN (marché primaire)","BOUSSIN","SEGOU","2","","3","","0","","","1","3","","BOUSSIN(marché primaire)","BOUSSIN","SEGOU","1","","2","","2","","1","","1","","","55000","4","fdff08a0-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","3","","3","","NIONO ( marché primaire)","NIONO","SEGOU","1","","2","","0","","","1","2","","NIONO(marché primaire) - BOUSSIN (marché primaire)","NIONO - BOUSSIN","SEGOU","1","","2","","2","","","","1","","","75000","5","fb8cac4e-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","2","","3","","DOUGABOUGOU(marché secondaire), Macina( marché secondaire).","DOUGABOUGOU,Macina","SEGOU","2","","2","","0","","","1","3","","KONOBOUGOU(marché secondaire), KONODIMINI (marché primaire)","KONOBOUGOU, KONODIMINI","SEGOU","1","","2","","1","","","","1","","","45000","4","f8dd6f20-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","1","1","","1","","Soungobougou","Soungobougou","SEGOU","2","","3","","0","","","","","","","","","","","","","","","","","","","","","","fcf1ed0d-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","4","","","","","","","","","","","","","","1","1","","Fana","Fana","Koulikoro","1","","2","","1 2","","-66","Il n`achète pas d`autres","1","","","10000","4","fb3843b0-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","4","","","","","","","","","","","","","","1","2","","Bamako","Bamako","Bamako","1 5","","2","","1 2 8 7","","1","","1","","","20000","4","fa8a8613-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","4","","","","","","","","","","","","","","1","3","","Ségou","Ségou","Ségou","1","","2","","1 2 3 4 8 6","","1","","1","","","35000","8","fa2ef776-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","4","","","","","","","","","","","","","","1","1","","Konondimini","Konondimini","Ségou","1","","-66","Il achète et revendre à konondimi","1 2 4 5 6","","1","","1","","","10000","4","ff07e714-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","4","","","","","","","","","","","","","","1","1","","Tissala","Tissala","Braouli","1 5","","2","","1 2 6 7","","1","","1","","","10000","4","fcdddf67-beed-11eb-8cbd-5cb901ddeae0"
