"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","9. What criteria do you use to decide which small ruminants to buy? (see mrktc_lkpbuy_criteria)","Unique Row Identifier (UUID)"
"975373","1","1","1","fcb905c9-beed-11eb-8cbd-5cb901ddeae0"
"975373","1","1","2","fcb8f5a0-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","1","f8ee3347-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","2","f8ee2561-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","8","f8ee1733-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","1","f851e2cb-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","2","f851d2e9-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","1","fa425a4b-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","2","fa426f65-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","8","fa4245b6-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","1","fe9e6f2e-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","2","fe9e5924-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","1","fa7be9ce-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","2","fa7bfc44-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","5","fa7c0e46-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","1","fcd88d77-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","2","fcd89e83-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","8","fcd8b09f-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","1","f926e385-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","2","f926fc53-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","3","f92732d4-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","6","f9272098-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","7","f9270daa-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","8","f927447f-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","1","fb560d16-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","2","fb562562-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","3","fb563dab-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","1","fd1cb9d9-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","2","fd1cc991-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","3","fd1cd788-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","8","fd1ce6ee-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","1","f8f7fc2d-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","2","f8f81148-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","3","f8f824e3-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","6","f8f8357f-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","8","f8f849d5-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","fd99b483-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","2","fd99c53f-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","3","fd99d59c-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","6","fd99e4f2-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","7","fd99f572-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","8","fd9a0575-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","1","fbcb3957-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","2","fbcb4924-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","1","fc26ae77-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","2","fc26d29b-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","5","fc26e961-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","1","f9ab2f6b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","2","f9ab4252-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","3","f9ab56b6-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","-66","f8411144-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","1","f840f0c0-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","2","f8410397-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","1","f9617529-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","2","f96183c5-beed-11eb-8cbd-5cb901ddeae0"
