"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","10. What other species of animals do you buy apart from sheep and goats? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"975373","1","1","5","fcb916d8-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","-66","f8ee43d7-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","5","f851f1d6-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","1","fa429b44-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","4","fa428625-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","-66","fe9e8618-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","1","fa7c1f8b-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","1","fcd8c2a5-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","1","f92755b9-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","-66","fb565662-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","-66","fd1cf76a-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","-66","f8f859bf-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","fd9a1681-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","1","fbcb5564-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","1","fc27041b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","-66","f9ab6e0d-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","-66","f8412312-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","-66","f961a18d-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","f872418a-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","4","f98699b4-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","-66","f8eb2a76-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","-66","f82e6274-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","1","-66","fd6cbd84-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","-66","fb234820-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","1","-66","fd704e72-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","-66","f9c18d9c-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","1","fd868eac-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","5","fd86a6e5-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","4","f7f45276-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","-66","f920726f-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","1","fdff5f56-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","-66","fb38a30d-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","1","fa8b1a25-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","1","fa2f903c-beed-11eb-8cbd-5cb901ddeae0"
