"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","7. What is your main reason for buying these small ruminants? (see mrktc_lkpbuy_reason)","Unique Row Identifier (UUID)"
"975373","1","1","1","fcb8e48c-beed-11eb-8cbd-5cb901ddeae0"
"975373","1","1","5","fcb8d312-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","1","f8ee08f6-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","1","f851c162-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","1","fa423263-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","5","fa421f68-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","1","fe9e43c5-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","1","fa7bbf6e-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","5","fa7bd002-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","1","fcd85a07-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","7","fcd87c64-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","8","fcd86c9b-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","1","f926a65c-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","5","f926bdb1-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","7","f926d07d-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","1","fb55fa7f-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","1","fd1ca907-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","1","f8f7e4d3-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","fd99a1c2-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","1","fbcb1aaa-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","5","fbcb2aa4-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","1","fc268bb9-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","5","fc269c95-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","1","f9ab154a-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","1","f840cf6e-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","5","f840e129-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","1","f96165e3-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","f871fde6-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","1","4","fd9d47f1-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","1","7","fd9d5a62-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","1","8","fd9d6e7d-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","1","f9865814-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","1","f8eacbfb-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","5","f8eade28-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1","f82e323f-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","1","2","fd6c6d97-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","1","fb22f366-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","1","1","fd702827-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","1","f9c14ea6-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","1","fd863255-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","2","f7f41fe3-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","1","f9203503-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","1","fdff3f0f-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","1","fb8ce242-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","1","f8dda951-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","1","fb386999-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","1","fa8aaf56-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","5","fa8ac073-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","1","fa2f1ec7-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","1","ff081242-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","1","fcde0421-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","5","fcde193b-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","7","f8032fba-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","1","fc1fa600-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","1","fabc2281-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","1","f8370bd3-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","1","f820ccda-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","1","f9d718d3-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","1","f9e20d1e-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","1","fd406bc9-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","1","f8c871e2-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","1","fc3856b0-beed-11eb-8cbd-5cb901ddeae0"
"976801","1","1","1","f7fc16e6-beed-11eb-8cbd-5cb901ddeae0"
"976801","1","1","5","f7fc2d87-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","1","fb99e117-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","5","fb9a0781-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","8","fb99f549-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","1","f8ab28ef-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","5","f8ab3d9e-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","1","f9ede855-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","1","f8e47178-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","1","feef1a9c-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","1","fd7d07ea-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","1","fcc10080-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","1","faf50f71-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","1","f843cbc7-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","1","f8138745-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","1","fda5278a-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","1","f834365d-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","1","fdcf9286-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","1","fec7c283-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","4","fec7d334-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","1","fc08b760-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","1","fdb8f550-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","1","f8da2306-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","f87570b3-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","1","fd00cb2b-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","1","fdc49a0d-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","1","ff157065-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1","fbb477b1-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","7","fbb48b24-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","1","f8c247d1-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","4","f8c254f3-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","1","fa9bf9ed-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","1","f86a05b9-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","1","f89cd3f1-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","1","fdf51309-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","1","ff0f4b7b-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","1","fbf7f71a-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","1","f976a9fd-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","1","f8000d03-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","1","fb67ea8b-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","1","fae20bcc-beed-11eb-8cbd-5cb901ddeae0"
"977649","1","1","5","fd47ba93-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","1","fc6061d4-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","4","fd95859d-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","5","fd9598c4-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","5","f8bea8a2-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","7","f8beb693-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","5","fb7a629e-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","7","fb7a72a1-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","3","f90d6a39-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","5","f90d7829-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","6","f90d5a43-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","7","f90d4831-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","4","f8881e0a-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","5","f8882cbd-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","4","fd4f73df-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","5","fd4f832b-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","5","fe154c07-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","6","fe155be2-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","7","fe156db9-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","5","f9ce78fd-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","6","f9ce86f5-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","7","f9ce9649-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","5","f901d07a-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","6","f901e265-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","7","f901f0a5-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf42692-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","5","fbf43748-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","6","fbf448f9-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","7","fbf45a89-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","4","f7e44429-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","5","f7e426d7-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","7","f7e4344c-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","5","fcc8d364-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","6","fcc8e655-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","7","fcc8f87b-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","8","fcc909bd-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","4","fbbff33a-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","5","fbc00573-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","6","fbc01671-beed-11eb-8cbd-5cb901ddeae0"
