"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","1. What are the activities that you are doing in this market today? (see mrktc_lkpmrkt_actvty)","Unique Row Identifier (UUID)"
"975373","1","1","4","fcb8c051-beed-11eb-8cbd-5cb901ddeae0"
"975374","1","1","4","f8edf9e8-beed-11eb-8cbd-5cb901ddeae0"
"975375","1","1","4","f851b069-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","1","4","fa420761-beed-11eb-8cbd-5cb901ddeae0"
"975377","1","1","4","fe9e2b7a-beed-11eb-8cbd-5cb901ddeae0"
"975380","1","1","4","fa7bad44-beed-11eb-8cbd-5cb901ddeae0"
"975381","1","1","4","fcd84686-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","4","f926945a-beed-11eb-8cbd-5cb901ddeae0"
"975383","1","1","4","fb55e52b-beed-11eb-8cbd-5cb901ddeae0"
"975384","1","1","4","fd1c90c1-beed-11eb-8cbd-5cb901ddeae0"
"975385","1","1","3","f8f7ba25-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","3","fd9927a9-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","4","fbcb0a31-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","1","4","fc26789e-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","3","f9aabc1f-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","2","f8407e0b-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","4","f84091d6-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","3","f9612641-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","3","f871b39c-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","1","4","fd9d3466-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","3","f9862474-beed-11eb-8cbd-5cb901ddeae0"
"975398","1","1","1","fa83af1e-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","1","1","fc467014-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","3","f8eaa7b6-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1","f82e09fb-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","3","f82e1839-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","1","1","f8098740-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","fb1216eb-beed-11eb-8cbd-5cb901ddeae0"
"975405","1","1","1","fe890456-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","1","3","fd6c4549-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","1","fb22d3fc-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","3","fb22c1f7-beed-11eb-8cbd-5cb901ddeae0"
"975408","1","1","1","f9fb414c-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","1","1","fec067b1-beed-11eb-8cbd-5cb901ddeae0"
