"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","If yes, out of all the species that you sell, which species do you sell the most? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"975386","1","1","1","fd998d54-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","f871eea7-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","fb123aca-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","4","f7f40f26-beed-11eb-8cbd-5cb901ddeae0"
"975689","1","1","4","f9c49dfa-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","1","fd405360-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","1","fc38438a-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","1","fcc0f101-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","1","fdcf7f00-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","1","fec7a0fa-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","4","fec7b2c2-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","1","fc08a125-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","1","fdb8e33e-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","f87564d0-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","1","fd00bc3b-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","1","fdc48771-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","1","ff15606e-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1","fbb4613e-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","1","f869f533-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","1","f89cc568-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","1","f9769923-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","1","f7fffc6f-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","1","fb67d525-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","1","fae1f77d-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","1","f8be8ba9-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","4","f8be99ff-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","1","fb7a3ab6-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","4","fb7a4eb3-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","1","f90d3150-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","4","fd4f625a-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","1","fbf403e6-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf41540-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","1","f7e41605-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","1","fcc8bebe-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","1","fbbfdf52-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","1","fa6b5cda-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","4","fa6b6e2b-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","1","fc8991c0-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","fbd24648-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","fcbc6c4b-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","1","fb3446c3-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","1","fbe1c7d9-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","1","f96456f7-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","1","fb07b1df-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","5","f98254e6-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","1","f95a130d-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","4","f95a229f-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","1","fd5ad7c6-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","1","fa492188-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","1","fb2a6294-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","2","fb2a732e-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","5","fb2a83c7-beed-11eb-8cbd-5cb901ddeae0"
"978000","1","1","1","fe1963fa-beed-11eb-8cbd-5cb901ddeae0"
"980534","1","1","4","fa364fc4-beed-11eb-8cbd-5cb901ddeae0"
"980540","1","1","3","facd2962-beed-11eb-8cbd-5cb901ddeae0"
"980540","1","1","4","facd18d6-beed-11eb-8cbd-5cb901ddeae0"
"980549","1","1","4","fc431066-beed-11eb-8cbd-5cb901ddeae0"
"980550","1","1","4","fdbd0e24-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","1","f91c9d51-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","4","f91c8cca-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","4","fc3bd346-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","4","f9145606-beed-11eb-8cbd-5cb901ddeae0"
"992821","1","1","1","fd645d15-beed-11eb-8cbd-5cb901ddeae0"
"996131","1","1","1","fab135c2-beed-11eb-8cbd-5cb901ddeae0"
"996305","1","1","1","faee4ea1-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","1","fee1b056-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","5","fa040ef8-beed-11eb-8cbd-5cb901ddeae0"
"998724","1","1","1","fb154b85-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","1","fd23e42e-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","2","fd23f46d-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","4","fd2404c4-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","1","fd4ae151-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","2","fd4af157-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","4","fd4b02ef-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","5","fd4b139e-beed-11eb-8cbd-5cb901ddeae0"
