"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","3. What is your main reason for selling these sheep and/ or goats? (see mrktc_lkpsell_reason)","Unique Row Identifier (UUID)"
"975385","1","1","1","f8f7cdfa-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","fd993ab5-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","2","fd996c87-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","3","fd994c67-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","4","fd995be3-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","5","fd997e4b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","1","f9aace93-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","2","f9ab0509-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","3","f9aaf46b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","4","f9aae062-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","1","f840a1f5-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","2","f840c07c-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","1","4","f840b242-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","1","f961379a-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","2","f9615715-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","3","f9614776-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","f871c4ba-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","3","f871d459-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","4","f871e0ff-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","1","f986423b-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","2","f98634c9-beed-11eb-8cbd-5cb901ddeae0"
"975398","1","1","1","fa83c86a-beed-11eb-8cbd-5cb901ddeae0"
"975398","1","1","2","fa83db6d-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","1","1","fc4685a9-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","1","f8eabad5-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1","f82e25f5-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","1","1","f80998ce-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","fb1229a1-beed-11eb-8cbd-5cb901ddeae0"
"975405","1","1","1","fe89153d-beed-11eb-8cbd-5cb901ddeae0"
"975405","1","1","2","fe892d33-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","1","2","fd6c5979-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","1","fb22e38a-beed-11eb-8cbd-5cb901ddeae0"
"975408","1","1","1","f9fb510e-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","1","1","fec07b48-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","1","1","fd701442-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","1","f9c13f54-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","2","fd861b98-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","2","f7f3ff41-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","2","f9201424-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","6","f920263f-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","2","fdff2f61-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","1","fb8cd1e7-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","2","f8dd99b0-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","1","2","fcf214ea-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","1","fc1f92ff-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","1","fabbff52-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","2","fabc1193-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","1","f836fa19-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","1","f820b5b6-beed-11eb-8cbd-5cb901ddeae0"
"975686","1","1","1","f95dc4ad-beed-11eb-8cbd-5cb901ddeae0"
"975687","1","1","1","fbcea403-beed-11eb-8cbd-5cb901ddeae0"
"975688","1","1","1","ff128e98-beed-11eb-8cbd-5cb901ddeae0"
"975689","1","1","1","f9c48638-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","1","f9d70219-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","1","f9e1f5b1-beed-11eb-8cbd-5cb901ddeae0"
"975693","1","1","6","fc94d2c5-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","2","fd403990-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","1","f8c863ba-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","1","fc382fd3-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","1","feeef2d2-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","3","feef07cf-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","1","fd7ce317-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","3","fd7cf593-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","1","fcc0bfa5-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","3","fcc0e18f-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","4","fcc0d170-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","1","faf4b1b9-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","2","faf4c056-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","3","faf4f07c-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","4","faf4d07e-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","5","faf4e1ea-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","7","faf5007f-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","1","f843bc83-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","1","1","f97ea96d-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","1","1","fcaf5919-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","1","2","fcaf6ad3-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","1","f8137bde-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","1","1","fa90f53d-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","1","1","fd6137e5-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","1","1","fadb84fb-beed-11eb-8cbd-5cb901ddeae0"
"977203","1","1","1","fa1ae3df-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","1","fda50c18-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","2","f83423a3-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","1","fdcf6b3c-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","1","fec75d6f-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","2","fec76ea7-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","4","fec77df4-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","6","fec78ef6-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","1","fc0889ad-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","2","fc08731d-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","4","fc0859e6-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","2","fdb8bbcd-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","4","fdb8cfb6-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","1","f8da078f-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","2","f8d9f888-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","3","f8da13b5-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","4","f8d9e7b1-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","f875596c-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","2","f87542ce-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","3","f8754eab-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","4","f8753425-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","1","fd0098b0-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","4","fd00aba3-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","1","fdc42d36-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","2","fdc43fc5-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","3","fdc474ae-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","4","fdc450d5-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","7","fdc463d0-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","1","ff15189d-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","2","ff152a08-beed-11eb-8cbd-5cb901ddeae0"
