"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"975376","1","1","1","BOUSSIN","BOUSSIN","SEGOU","1","fa42b568-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","2","2","DJOUNA","DJOUNA","SEGOU","3","fa42cd2c-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","3","3","CINZANA GARE","CINZANA GARE","SEGOU","2","fa42e129-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","1","FATINÈ","FATINÈ","SÉGOU","2","f9276c41-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","2","2","YOLO","YOLO","SÉGOU","1","f9278174-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","3","3","KATIÈNA","KATIÈNA","SÉGOU","2","f9279a54-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","FATINÈ","FATINÈ","SÉGOU","2","fd9a3b97-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","2","2","YOLO","YOLO","SÉGOU","1","fd9a4dc8-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","3","3","KATIÈNA","KATIÈNA","SÉGOU","2","fd9a5ea3-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","1","Fatiné","Fatiné","Ségou","1","fbcb6787-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","1","BOUSSIN","BOUSSIN","SÉGOU","1","f9ab8ac1-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","2","2","KATIÈNA","KATIÈNA","SÉGOU","1","f9aba5ff-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","3","3","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f9abc25b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","4","4","KONONDIMINI","KONONDIMINI","SÉGOU","1","f9abde08-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","1","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f961b5c0-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","BOUSSIN","BOUSSIN","SÉGOU","1","f8725566-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","2","2","TOUNA","TOUNA","SÉGOU","2","f8726468-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","3","3","CINZANA CARE","CINZANA CARE","SÉGOU","2","f87276a7-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","4","4","KATIÈNA","KATIÈNA","SÉGOU","2","f87287ba-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","5","5","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f87297b0-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","1","TOUNA","TOUNA","SÉGOU","2","f986b374-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","2","2","DIORO","DIORO","SÉGOU","2","f986c471-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","1","1","Dioro","Dioro","Ségou","2","fc46a2aa-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","2","2","Yolo","Yolo","Ségou","1","fc46bef3-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","3","3","Markala","Markala","Ségou","2","fc46dd0e-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","4","4","Ségou","Cité comatex","Ségou","1","fc46f440-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","1","Katiana","Katiana","Ségou","2","f8eb42fa-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","2","2","CINZANA CARE","CINZANA CARE","SÉGOU","2","f8eb567c-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1","CINZANA CARE","CINZANA CARE","SÉGOU","2","f82e74c1-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","2","2","Tona","Tona","Ségou","2","f82e8b17-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","3","3","Katiana","Katiana","Ségou","2","f82e9b4d-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","4","4","Djouna","Djouna","Ségou","2","f82ea888-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","1","1","Djouna","Djouna","Ségou","3","f809b05d-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","2","2","CINZANA CARE","CINZANA CARE","SÉGOU","2","f809c27b-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","Boussin","Boussin","Ségou","1","fb12509f-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","2","2","Katiana","Katiana","Ségou","2","fb126466-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","3","3","Niono","Niono","Ségou","1","fb1279d1-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","1","Boussin","Boussin","Ségou","1","fb23603b-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","2","2","Tona","Tona","Ségou","2","fb237805-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","3","3","Dioro","Dioro","Ségou","2","fb23979e-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","4","4","Cinzana care","Cinzana care","Ségou","2","fb23b026-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","1","1","SEGOU","CITE COMATEX","SEGOU","1","fec09a8f-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","2","2","CINZANA GARE","CINZANA GARE","SEGOU","2","fec0afae-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","3","3","Katièna","Katièna","SEGOU","2","fec0c3e3-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","4","4","DIOUNA","DIOUNA","SEGOU","2","fec0dc2d-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","1","Fatinè","Fatinè","SEGOU","1","f9c1a43c-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","2","2","YOLO","YOLO","SEGOU","1","f9c1b8e4-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","3","3","DIORO","DIORO","SEGOU","2","f9c1cbd6-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","1","YOLO","YOLO","SEGOU","1","fd86c070-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","2","2","Fatinè","Fatinè","SEGOU","1","fd86d83b-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","3","3","Katièna","Katièna","SEGOU","1","fd86efff-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","1","DIORO","DIORO","SEGOU","2","f7f4676e-beed-11eb-8cbd-5cb901ddeae0"
