"","fid","2.sell.place.name","2.sell.place.ward","2.sell.place.district","6.buy.place.name","6.buy.place.ward","6.buy.place.district","2.sell.place.ward.final","2.sell.place.district.final","2.sell.place.region.final","acceptAll.final.x","6.buy.place.ward.final","6.buy.place.district.final","6.buy.place.region.final","acceptAll.final.y"
"1",1144525,"kongogo","babayu","bahi","mnada.wa.kizota","kizota","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"2",1144526,"lamaiti","lamaiti","bahi",NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"3",1144527,"chasa","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"4",1144528,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"5",1144529,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"6",1144530,"masimba","masimba","chemba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1144531,NA,NA,NA,"tinai","msisi","bahi",NA,NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0"
"8",1144532,"kongogo","babayu","bahi","kizota","kizota","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"9",1144533,NA,NA,NA,"chasi","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"10",1144534,"chasi","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"11",1144535,"chasi","babayu","chemba",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1",NA,NA,NA,NA
"12",1144621,"tinai.village","msisi","bahi",NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"13",1144622,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"14",1144623,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"15",1144624,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"16",1144625,NA,NA,NA,"chase","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"17",1144626,NA,NA,NA,"masimba","babayu","chemba",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR1"
"18",1144627,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"19",1144628,"kongogo","babayu","bahi","dodoma","dodoma.mjini","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"20",1144630,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"21",1144631,"mugondo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"22",1144632,"kongogo","kongogo","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"23",1144633,"chinyika","mpendo","nchemba",NA,NA,NA,"mpendo","chemba.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"24",1144634,"babayu","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"25",1144635,NA,NA,NA,"makorongo","makorongo","nchemba",NA,NA,NA,NA,"makorongo","chemba.dc","dodoma","acceptWDR0"
"26",1144636,"maziwa","nchemba","nchemba",NA,NA,NA,"chemba","chemba.dc","dodoma","acceptWDR2",NA,NA,NA,NA
"27",1144637,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"28",1144638,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"29",1144639,"kongogo","babayu","bahi","mnada.wa.zamani","miyuji","dodoma.mjini","babayu","bahi.dc","dodoma","acceptWDR0","miyuji","dodoma.cc","dodoma","acceptWDR0"
"30",1144640,"babayu","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"31",1144641,"kongogo","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"32",1144642,NA,NA,NA,"dodoma","msalato","bahi",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWR0"
"33",1144643,"chase","babayu","bahi",NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"34",1144644,"tinai","msisi","bahi",NA,NA,NA,"msisi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"35",1144645,"masinda","masinda","chemba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1144646,NA,NA,NA,"pugu","pugu","kibaha",NA,NA,NA,NA,NA,NA,NA,NA
"37",1144647,"maziwa","chemba","chemba",NA,NA,NA,"chemba","chemba.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"38",1144648,NA,NA,NA,"dodoma","msalato","bahi",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWR0"
"39",1144649,NA,NA,NA,"dodoma","msalato","dodoma.jini",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWDR0"
"40",1144650,NA,NA,NA,"msalato","msalato","dodoma.mjini",NA,NA,NA,NA,"msalato","dodoma.cc","dodoma","acceptWDR0"
"41",1144651,NA,NA,NA,"kongogo","babayu","bahi",NA,NA,NA,NA,"babayu","bahi.dc","dodoma","acceptWDR0"
"42",1144652,NA,NA,NA,"lukali","lukali","bahi",NA,NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptHF0"
"43",1145138,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"44",1145139,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"45",1145140,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"46",1145141,"mpamantwa","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"47",1145142,NA,NA,NA,"ilindi","ilindi","bahi",NA,NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0"
"48",1145143,"mnkola","ibihwa","bahi","kibaha.kiwandani","kibaha","kibaha","ibihwa","bahi.dc","dodoma","acceptWDR0","kibaha","kibaha.tc","pwani","acceptWDR1"
"49",1145146,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"50",1145147,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"51",1145148,"kintinku","kintinku","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1145149,NA,NA,NA,"lamaiti","lamaiti","bahi",NA,NA,NA,NA,"lamaiti","bahi.dc","dodoma","acceptWDR0"
"53",1145150,"udimaa","kintinku","bahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1145151,"ilindi","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"55",1145152,"mindolaa","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"56",1145153,NA,NA,NA,"mnkola","ibihwa","bahi",NA,NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0"
"57",1145154,"mkakatika","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"58",1145155,"mnkola","mnkola","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptHF0",NA,NA,NA,NA
"59",1145156,NA,NA,NA,"mnkola","ibihwa","bahi",NA,NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0"
"60",1145157,NA,NA,NA,"dar.es.salam","pugu","temeke",NA,NA,NA,NA,"pugu","ilala.mc","dar.es.salaam","acceptWR0"
"61",1145158,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"62",1145159,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"63",1145160,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"64",1145161,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"65",1145162,"mnkola","ibihwa","bahi","kizota","kizota","dodoma.mjini","ibihwa","bahi.dc","dodoma","acceptWDR0","kizota","dodoma.cc","dodoma","acceptWDR0"
"66",1145163,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"67",1145164,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"68",1145165,"mkakatika","mpamantwa","bahi","mkakatika","mpamantwa","bahi","mpamantwa","bahi.dc","dodoma","acceptWDR0","mpamantwa","bahi.dc","dodoma","acceptWDR0"
"69",1145166,"mkakatika","mpamantwa","bahi",NA,NA,NA,"mpamantwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"70",1145167,"ibihwa","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"71",1145168,"mnkola","ibihwa","bahi",NA,NA,NA,"ibihwa","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"72",1145169,"mindola","ilindi","bahi",NA,NA,NA,"ilindi","bahi.dc","dodoma","acceptWDR0",NA,NA,NA,NA
"73",1145585,"mkombola","chigongwe","dodoma.mjini",NA,NA,NA,"chigongwe","dodoma.cc","dodoma","acceptWDR0",NA,NA,NA,NA
"74",1145586,"kigwe","kigwe","bahi","kibaha","soga","kibaha","kigwe","bahi.dc","dodoma","acceptWDR0","soga","kibaha.dc","pwani","acceptWDR0"
