"Code","Description","Unique Row Identifier (UUID)"
"1101","Bakel-Kidira ","45f52ada-bee5-11eb-8cbd-5cb901ddeae0"
"1201","Dagana-Diama","45f66207-bee5-11eb-8cbd-5cb901ddeae0"
"1202","Podor-Medina dialbé","45f771b1-bee5-11eb-8cbd-5cb901ddeae0"
"1301","Koungheul-Guenth Path","45f8abba-bee5-11eb-8cbd-5cb901ddeae0"
"1401","Linguère-Boula","45f9bb7e-bee5-11eb-8cbd-5cb901ddeae0"
"2101","Kati ","45facc70-bee5-11eb-8cbd-5cb901ddeae0"
"2201","Koro ","45fbdfad-bee5-11eb-8cbd-5cb901ddeae0"
"2301","Kayes","45fd1621-bee5-11eb-8cbd-5cb901ddeae0"
"2401","Ségou ","45fe26b8-bee5-11eb-8cbd-5cb901ddeae0"
"2501","Sikasso","45ff39a9-bee5-11eb-8cbd-5cb901ddeae0"
"3101","Boulkiemdé ","46004ada-bee5-11eb-8cbd-5cb901ddeae0"
"3102","Comoé","46015d20-bee5-11eb-8cbd-5cb901ddeae0"
"3103","Kénédougou ","46026fe3-bee5-11eb-8cbd-5cb901ddeae0"
"3201","Leraba ","46037ff9-bee5-11eb-8cbd-5cb901ddeae0"
"3301","Sanguié","460490eb-bee5-11eb-8cbd-5cb901ddeae0"
"4101","MTAPATO NORTH","4605a238-bee5-11eb-8cbd-5cb901ddeae0"
"4102","MTAPATO SOUTH","4606b1ef-bee5-11eb-8cbd-5cb901ddeae0"
"4103","ILOODO KILANI","4607c438-bee5-11eb-8cbd-5cb901ddeae0"
"4104","MAGADI","4608af21-bee5-11eb-8cbd-5cb901ddeae0"
"4105","KIMANA","4609e854-bee5-11eb-8cbd-5cb901ddeae0"
"4106","POKA KENYAWA","460afa9a-bee5-11eb-8cbd-5cb901ddeae0"
"4107","ROMBO","460c0ac3-bee5-11eb-8cbd-5cb901ddeae0"
"4108","ENTONET/LENKISIM","460d1c98-bee5-11eb-8cbd-5cb901ddeae0"
"4201","TSEIKURU","460e2f38-bee5-11eb-8cbd-5cb901ddeae0"
"4202","NGOMENI","460f666f-bee5-11eb-8cbd-5cb901ddeae0"
"4203","NGUNI","46107783-bee5-11eb-8cbd-5cb901ddeae0"
"4204","NUU","461189d6-bee5-11eb-8cbd-5cb901ddeae0"
"4205","KIVOU","46129be3-bee5-11eb-8cbd-5cb901ddeae0"
"4206","ZOMBE/MWITIKA","4613ad93-bee5-11eb-8cbd-5cb901ddeae0"
"4207","ENDAU/MALALANI","4614bdd9-bee5-11eb-8cbd-5cb901ddeae0"
"4208","VOO/KYAMATU","4615d01f-bee5-11eb-8cbd-5cb901ddeae0"
"4209","MUTHA","4616dfbd-bee5-11eb-8cbd-5cb901ddeae0"
"4210","IKUTHA","4617f1be-bee5-11eb-8cbd-5cb901ddeae0"
"4211","KISASI","4619032c-bee5-11eb-8cbd-5cb901ddeae0"
"4212","KAUWI","461a145d-bee5-11eb-8cbd-5cb901ddeae0"
"4301","KACHIENG'","461aff27-bee5-11eb-8cbd-5cb901ddeae0"
"4302","KANYASA","461c1221-bee5-11eb-8cbd-5cb901ddeae0"
"4303","NORTH KADEM","461d21a6-bee5-11eb-8cbd-5cb901ddeae0"
