"Code","Description","Unique Row Identifier (UUID)"
"11","Tambacounda","66d706fd-bee3-11eb-8cbd-5cb901ddeae0"
"12","Saint Louis","66d837da-bee3-11eb-8cbd-5cb901ddeae0"
"13","Kaffrine","66d972eb-bee3-11eb-8cbd-5cb901ddeae0"
"14","Louga","66da5a9b-bee3-11eb-8cbd-5cb901ddeae0"
"21","Kati ","66dbb82c-bee3-11eb-8cbd-5cb901ddeae0"
"22","Koro ","66dccac7-bee3-11eb-8cbd-5cb901ddeae0"
"23","Kayes","66ddb7a8-bee3-11eb-8cbd-5cb901ddeae0"
"24","Ségou ","66deec82-bee3-11eb-8cbd-5cb901ddeae0"
"25","Sikasso","66dffd6e-bee3-11eb-8cbd-5cb901ddeae0"
"31","Boulkiemdé ","66e10ebd-bee3-11eb-8cbd-5cb901ddeae0"
"32","Comoé","66e2207e-bee3-11eb-8cbd-5cb901ddeae0"
"33","Kénédougou ","66e3800c-bee3-11eb-8cbd-5cb901ddeae0"
"34","Leraba ","66e490e2-bee3-11eb-8cbd-5cb901ddeae0"
"35","Sanguié","66e5cc1c-bee3-11eb-8cbd-5cb901ddeae0"
"41","Kajiado","66e6de47-bee3-11eb-8cbd-5cb901ddeae0"
"42","Kitui","66e81441-bee3-11eb-8cbd-5cb901ddeae0"
"43","Migori","66e9251a-bee3-11eb-8cbd-5cb901ddeae0"
"44","Marsabit","66ea3868-bee3-11eb-8cbd-5cb901ddeae0"
"45","Isiolo","66eb4af5-bee3-11eb-8cbd-5cb901ddeae0"
"51","Borana","1dfcb4de-dc14-11ec-9416-9440c9ab47f0"
"61","KATAVI","66ec5ef2-bee3-11eb-8cbd-5cb901ddeae0"
"62","SIMIYU","66ed4788-bee3-11eb-8cbd-5cb901ddeae0"
"63","MBEYA","66ee58b2-bee3-11eb-8cbd-5cb901ddeae0"
"64","MTWARA","66ef425b-bee3-11eb-8cbd-5cb901ddeae0"
"65","MOROGORO","66f05328-bee3-11eb-8cbd-5cb901ddeae0"
"66","DODOMA","66f1639b-bee3-11eb-8cbd-5cb901ddeae0"
"68","MWANZA","c0aca045-bec5-11eb-81ba-3822e2cde809"
"70","NJOMBE","1dfb7d88-dc14-11ec-9416-9440c9ab47f0"
"71","RUKWA","1dfc1dc8-dc14-11ec-9416-9440c9ab47f0"
"72","SONGWE","6f4059bb-eb35-11ec-9416-9440c9ab47f0"
"73","IRINGA","8ec281ae-eb35-11ec-9416-9440c9ab47f0"
